,Tipo,Operación,Provincia,Vendedor
82,Suelo,Venta,Lleida,María
83,Piso,Venta,Barcelona,Carmen
84,Local,Alquiler,Barcelona,Joaquín
85,Piso,Venta,Girona,Jesús
86,Industrial,Alquiler,Barcelona,Luisa
87,Parking,Alquiler,Tarragona,Pedro
88,Local,Alquiler,Barcelona,Jesús
89,Suelo,Venta,Girona,Pedro
90,Industrial,Alquiler,Barcelona,Joaquín
91,Piso,Alquiler,Barcelona,Jesús
92,Industrial,Alquiler,Tarragona,Joaquín
93,Industrial,Alquiler,Barcelona,Luisa
94,Local,Venta,Barcelona,Joaquín
95,Industrial,Alquiler,Tarragona,Jesús
96,Suelo,Venta,Tarragona,Jesús
97,Casa,Venta,Lleida,Carmen
98,Industrial,Alquiler,Girona,María
99,Local,Alquiler,Tarragona,Jesús
100,Suelo,Alquiler,Girona,María
101,Local,Venta,Barcelona,Luisa
102,Casa,Alquiler,Girona,María
103,Oficina,Venta,Tarragona,Luisa
104,Piso,Alquiler,Girona,Luisa
105,Piso,Alquiler,Lleida,Pedro
106,Suelo,Alquiler,Girona,Jesús
107,Suelo,Alquiler,Tarragona,Joaquín
108,Suelo,Alquiler,Barcelona,Pedro
109,Parking,Venta,Barcelona,Luisa
110,Suelo,Alquiler,Tarragona,Joaquín
111,Local,Alquiler,Lleida,Pedro
112,Suelo,Alquiler,Barcelona,Luisa
113,Suelo,Venta,Girona,Joaquín
114,Industrial,Venta,Tarragona,Carmen
115,Parking,Venta,Girona,Jesús
116,Oficina,Venta,Girona,Joaquín
117,Oficina,Venta,Girona,Luisa
118,Parking,Venta,Lleida,Pedro
119,Piso,Venta,Tarragona,Jesús
120,Parking,Venta,Barcelona,Jesús
121,Casa,Alquiler,Barcelona,Pedro
122,Local,Alquiler,Girona,Pedro
123,Suelo,Alquiler,Tarragona,Joaquín
124,Industrial,Venta,Girona,Carmen
125,Industrial,Venta,Tarragona,María
126,Industrial,Venta,Barcelona,Jesús
127,Casa,Venta,Tarragona,Luisa
128,Parking,Alquiler,Lleida,Carmen
129,Oficina,Venta,Tarragona,Luisa
130,Local,Venta,Lleida,Carmen
131,Oficina,Venta,Tarragona,Jesús
132,Suelo,Alquiler,Tarragona,Pedro
133,Oficina,Alquiler,Tarragona,Joaquín
134,Local,Venta,Lleida,Jesús
135,Oficina,Alquiler,Lleida,Joaquín
136,Casa,Venta,Barcelona,Pedro
137,Industrial,Venta,Girona,Luisa
138,Local,Alquiler,Tarragona,Joaquín
139,Piso,Venta,Barcelona,María
140,Suelo,Venta,Barcelona,Joaquín
141,Oficina,Venta,Tarragona,Pedro
142,Oficina,Alquiler,Tarragona,María
143,Parking,Alquiler,Barcelona,Pedro
144,Piso,Venta,Girona,Pedro
145,Parking,Venta,Girona,Luisa
146,Parking,Alquiler,Barcelona,Joaquín
147,Local,Venta,Barcelona,María
148,Piso,Venta,Lleida,Luisa
149,Casa,Alquiler,Lleida,Jesús
150,Oficina,Alquiler,Lleida,Luisa
151,Oficina,Venta,Tarragona,María
152,Piso,Venta,Lleida,María
153,Industrial,Alquiler,Lleida,Pedro
154,Suelo,Alquiler,Girona,Pedro
155,Casa,Venta,Girona,Pedro
156,Oficina,Venta,Tarragona,María
157,Casa,Alquiler,Lleida,Luisa
158,Local,Venta,Lleida,Pedro
159,Casa,Venta,Tarragona,María
160,Suelo,Venta,Tarragona,Jesús
161,Piso,Alquiler,Lleida,Jesús
162,Local,Venta,Tarragona,Carmen
163,Oficina,Alquiler,Girona,Carmen
164,Industrial,Venta,Tarragona,Luisa
165,Oficina,Venta,Tarragona,Luisa
166,Parking,Venta,Girona,Luisa
167,Suelo,Venta,Lleida,Joaquín
168,Industrial,Alquiler,Barcelona,Jesús
169,Suelo,Alquiler,Lleida,Joaquín
170,Suelo,Venta,Girona,Joaquín
171,Piso,Alquiler,Tarragona,María
172,Oficina,Venta,Girona,Joaquín
173,Piso,Alquiler,Lleida,Joaquín
174,Local,Venta,Barcelona,Carmen
175,Industrial,Alquiler,Lleida,Jesús
176,Suelo,Venta,Tarragona,Jesús
177,Local,Venta,Tarragona,María
178,Industrial,Venta,Barcelona,Jesús
179,Suelo,Alquiler,Tarragona,Jesús
180,Oficina,Venta,Tarragona,Joaquín
181,Local,Alquiler,Tarragona,Joaquín
182,Local,Alquiler,Girona,Carmen
183,Suelo,Venta,Tarragona,Pedro
184,Industrial,Venta,Barcelona,María
185,Casa,Alquiler,Girona,Jesús
186,Local,Alquiler,Barcelona,María
187,Casa,Venta,Lleida,Carmen
188,Parking,Venta,Girona,Jesús
189,Parking,Alquiler,Lleida,Pedro
190,Suelo,Alquiler,Tarragona,Carmen
191,Local,Venta,Girona,Pedro
192,Suelo,Venta,Tarragona,María
193,Local,Alquiler,Girona,Pedro
194,Piso,Venta,Girona,Carmen
195,Piso,Alquiler,Barcelona,Carmen
196,Piso,Venta,Tarragona,Carmen
197,Oficina,Alquiler,Girona,Pedro
198,Oficina,Venta,Lleida,María
199,Parking,Venta,Tarragona,Pedro
200,Parking,Venta,Girona,Pedro
201,Piso,Alquiler,Girona,María
202,Local,Alquiler,Girona,Luisa
203,Local,Alquiler,Barcelona,Luisa
204,Local,Venta,Girona,Luisa
205,Piso,Alquiler,Lleida,Joaquín
206,Piso,Alquiler,Lleida,Luisa
207,Casa,Venta,Lleida,Pedro
208,Parking,Venta,Lleida,María
209,Oficina,Alquiler,Lleida,Carmen
210,Parking,Alquiler,Barcelona,Carmen
211,Casa,Alquiler,Barcelona,Carmen
212,Suelo,Alquiler,Lleida,Pedro
213,Industrial,Venta,Girona,Carmen
214,Parking,Alquiler,Girona,Pedro
215,Industrial,Venta,Tarragona,María
216,Industrial,Alquiler,Lleida,Luisa
217,Suelo,Alquiler,Tarragona,Carmen
218,Industrial,Alquiler,Girona,Luisa
219,Industrial,Alquiler,Lleida,Jesús
220,Casa,Alquiler,Barcelona,Pedro
221,Local,Alquiler,Girona,María
222,Suelo,Alquiler,Girona,Luisa
223,Oficina,Venta,Tarragona,Luisa
224,Parking,Alquiler,Barcelona,Jesús
225,Local,Alquiler,Tarragona,Joaquín
226,Casa,Venta,Lleida,Luisa
227,Local,Venta,Girona,Jesús
228,Oficina,Venta,Tarragona,Carmen
229,Oficina,Alquiler,Tarragona,Pedro
230,Local,Alquiler,Barcelona,Pedro
231,Oficina,Venta,Tarragona,María
232,Local,Alquiler,Girona,Joaquín
233,Suelo,Venta,Girona,Carmen
234,Suelo,Venta,Lleida,Pedro
235,Industrial,Venta,Girona,Carmen
236,Piso,Venta,Tarragona,Pedro
237,Casa,Alquiler,Barcelona,Jesús
238,Piso,Alquiler,Lleida,Pedro
239,Parking,Venta,Barcelona,Luisa
240,Local,Venta,Lleida,Carmen
241,Suelo,Venta,Barcelona,Jesús
242,Local,Venta,Lleida,Luisa
243,Local,Alquiler,Tarragona,María
244,Casa,Venta,Barcelona,Joaquín
245,Local,Venta,Girona,Jesús
246,Industrial,Alquiler,Barcelona,Jesús
247,Suelo,Alquiler,Girona,Pedro
248,Industrial,Venta,Tarragona,Joaquín
249,Piso,Alquiler,Lleida,Pedro
250,Suelo,Venta,Lleida,Pedro
251,Parking,Alquiler,Lleida,María
252,Parking,Venta,Tarragona,María
253,Piso,Venta,Girona,Pedro
254,Local,Alquiler,Barcelona,Pedro
255,Industrial,Venta,Girona,Carmen
256,Suelo,Alquiler,Lleida,Carmen
257,Suelo,Alquiler,Barcelona,María
258,Parking,Venta,Tarragona,Luisa
259,Piso,Alquiler,Tarragona,Luisa
260,Casa,Alquiler,Lleida,Joaquín
261,Casa,Alquiler,Barcelona,Luisa
262,Oficina,Alquiler,Barcelona,María
263,Parking,Alquiler,Tarragona,Jesús
264,Parking,Venta,Barcelona,Luisa
265,Parking,Alquiler,Tarragona,Jesús
266,Casa,Venta,Girona,Carmen
267,Industrial,Alquiler,Girona,María
268,Parking,Venta,Lleida,María
269,Parking,Alquiler,Tarragona,Joaquín
270,Local,Alquiler,Lleida,Jesús
271,Suelo,Venta,Lleida,Carmen
272,Piso,Alquiler,Lleida,Joaquín
273,Piso,Alquiler,Lleida,Jesús
274,Local,Alquiler,Girona,Pedro
275,Oficina,Alquiler,Girona,Pedro
276,Parking,Venta,Barcelona,Jesús
277,Suelo,Alquiler,Girona,Carmen
278,Suelo,Venta,Girona,María
279,Oficina,Venta,Barcelona,Pedro
280,Oficina,Venta,Girona,Carmen
281,Casa,Venta,Girona,Jesús
282,Oficina,Alquiler,Tarragona,Pedro
283,Suelo,Alquiler,Girona,Luisa
284,Industrial,Alquiler,Tarragona,Jesús
285,Industrial,Venta,Barcelona,Jesús
286,Industrial,Alquiler,Barcelona,Jesús
287,Casa,Alquiler,Lleida,Luisa
288,Suelo,Venta,Lleida,Pedro
289,Oficina,Alquiler,Girona,Jesús
290,Casa,Alquiler,Tarragona,Pedro
291,Parking,Venta,Barcelona,Pedro
292,Parking,Venta,Girona,Luisa
293,Oficina,Venta,Girona,Carmen
294,Oficina,Venta,Girona,Luisa
295,Parking,Alquiler,Barcelona,Pedro
296,Suelo,Alquiler,Girona,Pedro
297,Industrial,Venta,Barcelona,Luisa
298,Industrial,Venta,Girona,Joaquín
299,Suelo,Alquiler,Tarragona,Carmen
300,Casa,Alquiler,Tarragona,Carmen
301,Industrial,Alquiler,Girona,Pedro
302,Oficina,Venta,Girona,Carmen
303,Casa,Alquiler,Barcelona,Pedro
304,Oficina,Venta,Girona,Joaquín
305,Piso,Venta,Lleida,Jesús
306,Industrial,Venta,Lleida,Carmen
307,Suelo,Alquiler,Barcelona,Carmen
308,Piso,Alquiler,Lleida,Luisa
309,Industrial,Venta,Lleida,Pedro
310,Suelo,Venta,Lleida,Carmen
311,Industrial,Venta,Girona,Luisa
312,Local,Alquiler,Barcelona,Luisa
313,Suelo,Alquiler,Tarragona,Joaquín
314,Casa,Alquiler,Barcelona,Joaquín
315,Industrial,Alquiler,Barcelona,Carmen
316,Parking,Alquiler,Barcelona,Jesús
317,Suelo,Alquiler,Lleida,Jesús
318,Piso,Venta,Tarragona,Luisa
319,Industrial,Alquiler,Girona,María
320,Industrial,Alquiler,Girona,Pedro
321,Suelo,Venta,Barcelona,María
322,Parking,Venta,Barcelona,María
323,Suelo,Alquiler,Barcelona,Carmen
324,Piso,Venta,Girona,Joaquín
325,Industrial,Alquiler,Barcelona,Luisa
326,Suelo,Venta,Tarragona,Jesús
327,Suelo,Venta,Barcelona,Jesús
328,Industrial,Venta,Lleida,María
329,Parking,Alquiler,Girona,Pedro
330,Parking,Alquiler,Barcelona,Luisa
331,Local,Alquiler,Girona,Luisa
332,Piso,Venta,Barcelona,Jesús
333,Industrial,Alquiler,Tarragona,Pedro
334,Piso,Venta,Lleida,Joaquín
335,Local,Alquiler,Tarragona,María
336,Oficina,Venta,Girona,Pedro
337,Oficina,Alquiler,Barcelona,Carmen
338,Suelo,Alquiler,Girona,Joaquín
339,Suelo,Venta,Lleida,Jesús
340,Casa,Venta,Tarragona,Pedro
341,Local,Alquiler,Lleida,Pedro
342,Parking,Venta,Barcelona,Luisa
343,Casa,Venta,Barcelona,Jesús
344,Industrial,Alquiler,Tarragona,Jesús
345,Local,Venta,Tarragona,Pedro
346,Industrial,Venta,Barcelona,Carmen
347,Oficina,Alquiler,Girona,Joaquín
348,Parking,Venta,Tarragona,María
349,Oficina,Venta,Girona,María
350,Piso,Alquiler,Girona,Pedro
351,Casa,Venta,Tarragona,Luisa
352,Piso,Alquiler,Tarragona,Carmen
353,Piso,Venta,Girona,Carmen
354,Oficina,Alquiler,Tarragona,Carmen
355,Parking,Alquiler,Lleida,Luisa
356,Suelo,Venta,Girona,Pedro
357,Piso,Venta,Barcelona,Joaquín
358,Parking,Venta,Lleida,Jesús
359,Local,Venta,Barcelona,Luisa
360,Local,Venta,Lleida,Luisa
361,Casa,Venta,Lleida,Luisa
362,Suelo,Alquiler,Girona,Carmen
363,Local,Venta,Lleida,Luisa
364,Local,Alquiler,Tarragona,María
365,Oficina,Venta,Lleida,Jesús
366,Industrial,Alquiler,Lleida,Jesús
367,Casa,Venta,Girona,Carmen
368,Casa,Alquiler,Barcelona,Luisa
369,Suelo,Alquiler,Tarragona,Jesús
370,Oficina,Venta,Barcelona,Luisa
371,Parking,Alquiler,Lleida,Luisa
372,Suelo,Alquiler,Barcelona,Pedro
373,Piso,Alquiler,Tarragona,Jesús
374,Local,Venta,Tarragona,María
375,Industrial,Alquiler,Lleida,Jesús
376,Oficina,Alquiler,Barcelona,Pedro
377,Suelo,Alquiler,Girona,María
378,Piso,Venta,Girona,Jesús
379,Local,Venta,Lleida,Carmen
380,Casa,Venta,Girona,Joaquín
381,Suelo,Alquiler,Lleida,Luisa
382,Industrial,Alquiler,Lleida,Joaquín
383,Parking,Venta,Barcelona,Joaquín
384,Parking,Venta,Barcelona,Luisa
385,Parking,Alquiler,Girona,Pedro
386,Oficina,Venta,Barcelona,Joaquín
387,Parking,Alquiler,Girona,Jesús
388,Oficina,Alquiler,Tarragona,Luisa
389,Parking,Alquiler,Tarragona,Luisa
390,Suelo,Venta,Girona,Carmen
391,Piso,Alquiler,Barcelona,Jesús
392,Piso,Venta,Girona,Pedro
393,Local,Alquiler,Barcelona,María
394,Casa,Alquiler,Girona,Carmen
395,Parking,Alquiler,Lleida,Jesús
396,Parking,Venta,Barcelona,Joaquín
397,Industrial,Venta,Girona,Luisa
398,Industrial,Venta,Tarragona,Pedro
399,Parking,Venta,Tarragona,Carmen
400,Piso,Alquiler,Barcelona,Pedro
401,Industrial,Alquiler,Lleida,María
402,Piso,Venta,Girona,Jesús
403,Casa,Alquiler,Lleida,Carmen
404,Local,Venta,Tarragona,Jesús
405,Oficina,Venta,Barcelona,Carmen
406,Industrial,Venta,Barcelona,María
407,Industrial,Alquiler,Barcelona,Pedro
408,Parking,Venta,Girona,Luisa
409,Piso,Alquiler,Lleida,Luisa
410,Local,Venta,Girona,Luisa
411,Local,Venta,Girona,María
412,Piso,Alquiler,Tarragona,Luisa
413,Suelo,Venta,Lleida,Luisa
414,Parking,Venta,Barcelona,Carmen
415,Oficina,Alquiler,Lleida,Carmen
416,Suelo,Venta,Barcelona,Luisa
417,Industrial,Alquiler,Girona,Joaquín
418,Parking,Venta,Girona,Luisa
419,Piso,Alquiler,Lleida,Carmen
420,Suelo,Venta,Barcelona,Pedro
421,Piso,Alquiler,Barcelona,Jesús
422,Local,Alquiler,Barcelona,Luisa
423,Parking,Venta,Barcelona,Jesús
424,Casa,Venta,Girona,María
425,Oficina,Alquiler,Lleida,Jesús
426,Piso,Venta,Barcelona,Carmen
427,Piso,Alquiler,Lleida,Carmen
428,Parking,Alquiler,Tarragona,Jesús
429,Oficina,Venta,Tarragona,Luisa
430,Suelo,Alquiler,Tarragona,Jesús
431,Oficina,Alquiler,Lleida,Joaquín
432,Suelo,Venta,Tarragona,Carmen
433,Local,Alquiler,Tarragona,Joaquín
434,Industrial,Alquiler,Girona,Jesús
435,Suelo,Venta,Tarragona,Carmen
436,Parking,Venta,Girona,Luisa
437,Oficina,Venta,Barcelona,Luisa
438,Oficina,Alquiler,Girona,Luisa
439,Parking,Venta,Barcelona,Jesús
440,Parking,Venta,Barcelona,Carmen
441,Parking,Venta,Tarragona,Pedro
442,Piso,Alquiler,Girona,Jesús
443,Parking,Venta,Barcelona,Luisa
444,Local,Alquiler,Girona,Jesús
445,Casa,Alquiler,Tarragona,Jesús
446,Parking,Alquiler,Lleida,Pedro
447,Local,Alquiler,Girona,Pedro
448,Local,Venta,Girona,Pedro
449,Industrial,Alquiler,Lleida,Luisa
450,Oficina,Venta,Barcelona,Joaquín
451,Suelo,Venta,Lleida,Pedro
452,Suelo,Venta,Girona,Jesús
453,Oficina,Alquiler,Barcelona,Luisa
454,Parking,Alquiler,Barcelona,Carmen
455,Piso,Venta,Lleida,María
456,Suelo,Alquiler,Lleida,Luisa
457,Piso,Alquiler,Barcelona,Jesús
458,Oficina,Venta,Girona,María
459,Oficina,Alquiler,Barcelona,Joaquín
460,Casa,Venta,Girona,María
461,Oficina,Alquiler,Lleida,María
462,Casa,Venta,Girona,Pedro
463,Casa,Alquiler,Girona,Luisa
464,Industrial,Alquiler,Lleida,Pedro
465,Local,Alquiler,Tarragona,Joaquín
466,Local,Venta,Girona,Pedro
467,Local,Venta,Tarragona,Jesús
468,Casa,Alquiler,Barcelona,Pedro
469,Parking,Venta,Tarragona,Jesús
470,Casa,Venta,Lleida,Pedro
471,Suelo,Venta,Tarragona,María
472,Parking,Alquiler,Lleida,Carmen
473,Suelo,Venta,Girona,Jesús
474,Suelo,Alquiler,Tarragona,Pedro
475,Oficina,Alquiler,Lleida,Carmen
476,Suelo,Alquiler,Lleida,Jesús
477,Suelo,Alquiler,Lleida,Luisa
478,Oficina,Venta,Girona,Luisa
479,Suelo,Venta,Lleida,Luisa
480,Oficina,Alquiler,Barcelona,Jesús
481,Industrial,Venta,Tarragona,María
482,Oficina,Venta,Lleida,Carmen
483,Casa,Venta,Girona,Luisa
484,Piso,Alquiler,Tarragona,Luisa
485,Piso,Venta,Girona,Luisa
486,Casa,Venta,Lleida,Carmen
487,Piso,Alquiler,Lleida,Carmen
488,Casa,Venta,Tarragona,Luisa
489,Parking,Alquiler,Barcelona,Luisa
490,Piso,Alquiler,Girona,Luisa
491,Local,Venta,Lleida,Jesús
492,Parking,Alquiler,Lleida,María
493,Piso,Venta,Barcelona,Luisa
494,Oficina,Venta,Barcelona,Luisa
495,Piso,Alquiler,Lleida,Jesús
496,Oficina,Venta,Girona,Pedro
497,Suelo,Alquiler,Tarragona,Luisa
498,Casa,Venta,Barcelona,Joaquín
499,Industrial,Alquiler,Lleida,Pedro
500,Casa,Venta,Lleida,Pedro
501,Piso,Alquiler,Lleida,Jesús
502,Piso,Venta,Barcelona,María
503,Oficina,Venta,Lleida,María
504,Industrial,Venta,Tarragona,Luisa
505,Industrial,Alquiler,Tarragona,Luisa
506,Industrial,Alquiler,Tarragona,Carmen
507,Local,Venta,Barcelona,Jesús
508,Parking,Venta,Tarragona,Pedro
509,Industrial,Alquiler,Barcelona,Joaquín
510,Industrial,Venta,Lleida,Jesús
511,Parking,Alquiler,Tarragona,Joaquín
512,Casa,Alquiler,Barcelona,Jesús
513,Casa,Venta,Tarragona,Luisa
514,Oficina,Alquiler,Barcelona,Carmen
515,Oficina,Alquiler,Barcelona,Carmen
516,Industrial,Venta,Girona,Pedro
517,Casa,Venta,Girona,Luisa
518,Piso,Alquiler,Barcelona,Luisa
519,Suelo,Alquiler,Lleida,María
520,Parking,Venta,Barcelona,Luisa
521,Casa,Venta,Lleida,Carmen
522,Suelo,Alquiler,Girona,Carmen
523,Piso,Alquiler,Barcelona,Pedro
524,Parking,Venta,Lleida,Pedro
525,Parking,Venta,Girona,María
526,Industrial,Alquiler,Barcelona,Joaquín
527,Casa,Alquiler,Lleida,Joaquín
528,Industrial,Alquiler,Lleida,Carmen
529,Local,Venta,Lleida,María
530,Industrial,Alquiler,Barcelona,Carmen
531,Local,Alquiler,Lleida,Carmen
532,Parking,Venta,Tarragona,Carmen
533,Oficina,Venta,Girona,Luisa
534,Industrial,Alquiler,Lleida,Carmen
535,Casa,Venta,Girona,Joaquín
536,Local,Alquiler,Girona,Luisa
537,Industrial,Alquiler,Girona,María
538,Parking,Alquiler,Barcelona,María
539,Parking,Alquiler,Tarragona,Joaquín
540,Casa,Alquiler,Girona,Jesús
541,Oficina,Venta,Barcelona,María
542,Industrial,Venta,Tarragona,Pedro
543,Oficina,Venta,Tarragona,Carmen
544,Local,Venta,Lleida,Jesús
545,Industrial,Venta,Lleida,María
546,Casa,Alquiler,Girona,Jesús
547,Parking,Venta,Barcelona,Carmen
548,Local,Venta,Girona,Carmen
549,Casa,Alquiler,Lleida,Luisa
550,Piso,Alquiler,Girona,Pedro
551,Local,Venta,Barcelona,Carmen
552,Oficina,Venta,Barcelona,Pedro
553,Parking,Venta,Barcelona,Joaquín
554,Piso,Venta,Girona,Luisa
555,Suelo,Venta,Lleida,Carmen
556,Piso,Alquiler,Girona,Joaquín
557,Piso,Alquiler,Girona,Luisa
558,Local,Alquiler,Tarragona,Pedro
559,Industrial,Alquiler,Tarragona,Pedro
560,Parking,Alquiler,Lleida,Jesús
561,Piso,Alquiler,Girona,Joaquín
562,Piso,Venta,Barcelona,Jesús
563,Casa,Alquiler,Lleida,Jesús
564,Suelo,Venta,Barcelona,Joaquín
565,Local,Alquiler,Girona,María
566,Local,Venta,Barcelona,Joaquín
567,Local,Venta,Lleida,Luisa
568,Local,Alquiler,Tarragona,Luisa
569,Suelo,Alquiler,Lleida,Pedro
570,Industrial,Alquiler,Tarragona,Jesús
571,Local,Alquiler,Tarragona,Carmen
572,Parking,Venta,Tarragona,Jesús
573,Local,Alquiler,Lleida,Carmen
574,Parking,Alquiler,Barcelona,Joaquín
575,Casa,Venta,Barcelona,Pedro
576,Oficina,Venta,Barcelona,Joaquín
577,Oficina,Venta,Girona,Joaquín
578,Industrial,Venta,Girona,Luisa
579,Parking,Venta,Tarragona,María
580,Casa,Venta,Tarragona,Jesús
581,Industrial,Venta,Lleida,Jesús
582,Local,Venta,Tarragona,Pedro
583,Casa,Alquiler,Girona,Luisa
584,Parking,Alquiler,Girona,Joaquín
585,Oficina,Alquiler,Lleida,María
586,Piso,Alquiler,Barcelona,Joaquín
587,Local,Alquiler,Tarragona,Pedro
588,Oficina,Venta,Tarragona,Carmen
589,Suelo,Venta,Tarragona,Carmen
590,Suelo,Alquiler,Girona,Luisa
591,Parking,Alquiler,Girona,Pedro
592,Suelo,Venta,Tarragona,Carmen
593,Industrial,Alquiler,Tarragona,Pedro
594,Industrial,Venta,Barcelona,Jesús
595,Parking,Venta,Lleida,Luisa
596,Casa,Venta,Lleida,María
597,Casa,Venta,Lleida,María
598,Local,Alquiler,Lleida,Joaquín
599,Oficina,Alquiler,Barcelona,Pedro
600,Casa,Alquiler,Girona,Luisa
601,Industrial,Venta,Girona,Joaquín
602,Casa,Alquiler,Barcelona,Jesús
603,Local,Alquiler,Lleida,Luisa
604,Piso,Alquiler,Lleida,María
605,Parking,Alquiler,Lleida,María
606,Parking,Venta,Barcelona,Pedro
607,Suelo,Venta,Lleida,Carmen
608,Suelo,Venta,Lleida,Pedro
609,Local,Venta,Barcelona,Joaquín
610,Casa,Venta,Barcelona,Luisa
611,Casa,Alquiler,Girona,Joaquín
612,Industrial,Venta,Barcelona,Pedro
613,Casa,Alquiler,Barcelona,Pedro
614,Local,Venta,Lleida,María
615,Piso,Alquiler,Barcelona,Luisa
616,Piso,Venta,Lleida,Carmen
617,Oficina,Alquiler,Lleida,Pedro
618,Suelo,Alquiler,Barcelona,Pedro
619,Suelo,Alquiler,Barcelona,Carmen
620,Industrial,Venta,Tarragona,Carmen
621,Piso,Venta,Barcelona,Luisa
622,Local,Venta,Tarragona,María
623,Industrial,Venta,Tarragona,Jesús
624,Industrial,Alquiler,Girona,Carmen
625,Piso,Alquiler,Tarragona,Joaquín
626,Parking,Alquiler,Lleida,María
627,Casa,Alquiler,Tarragona,Jesús
628,Piso,Venta,Girona,Jesús
629,Parking,Alquiler,Girona,María
630,Parking,Alquiler,Barcelona,Carmen
631,Piso,Venta,Girona,Pedro
632,Parking,Alquiler,Girona,Luisa
633,Piso,Alquiler,Tarragona,María
634,Local,Alquiler,Girona,Jesús
635,Piso,Alquiler,Tarragona,María
636,Parking,Alquiler,Barcelona,María
637,Casa,Venta,Tarragona,María
638,Piso,Alquiler,Girona,Carmen
639,Industrial,Alquiler,Tarragona,María
640,Oficina,Venta,Girona,María
641,Industrial,Venta,Girona,Luisa
642,Industrial,Alquiler,Lleida,Carmen
643,Industrial,Alquiler,Tarragona,Pedro
644,Industrial,Venta,Tarragona,Joaquín
645,Parking,Alquiler,Lleida,Joaquín
646,Piso,Venta,Barcelona,Luisa
647,Oficina,Venta,Girona,Pedro
648,Piso,Alquiler,Lleida,Pedro
649,Parking,Venta,Lleida,Carmen
650,Piso,Venta,Girona,Jesús
651,Oficina,Alquiler,Girona,María
652,Piso,Venta,Tarragona,Carmen
653,Oficina,Alquiler,Girona,Luisa
654,Oficina,Venta,Girona,Luisa
655,Oficina,Venta,Tarragona,Luisa
