,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
221,222,2004-03-30,Local,Alquiler,Girona,82,420660,2004-10-02,María
222,223,2004-03-31,Suelo,Alquiler,Girona,62,489924,2004-09-09,Luisa
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
224,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
225,226,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29,Joaquín
226,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
229,230,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01,Pedro
230,231,2004-04-03,Local,Alquiler,Barcelona,143,665951,2005-02-18,Pedro
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
232,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
234,235,2004-04-03,Suelo,Venta,Lleida,126,848358,2004-11-02,Pedro
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
237,238,2004-04-05,Casa,Alquiler,Barcelona,170,995520,2005-02-01,Jesús
238,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
241,242,2004-04-07,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
246,247,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09,Jesús
247,248,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26,Pedro
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
249,250,2004-04-09,Piso,Alquiler,Lleida,175,747075,2005-02-01,Pedro
