,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
264,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
265,266,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16,Jesús
268,269,2004-04-15,Parking,Venta,Lleida,52,446888,2004-09-01,María
269,270,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31,Joaquín
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
291,292,2004-04-21,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
295,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
329,330,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26,Pedro
330,331,2004-05-05,Parking,Alquiler,Barcelona,205,990355,2004-12-08,Luisa
342,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
348,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
355,356,2004-05-14,Parking,Alquiler,Lleida,154,830830,2005-02-03,Luisa
358,359,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18,Jesús
371,372,2004-05-20,Parking,Alquiler,Lleida,163,1317529,2005-05-03,Luisa
383,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
385,386,2004-05-26,Parking,Alquiler,Girona,184,830760,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137,835152,2005-02-13,Jesús
389,390,2004-05-30,Parking,Alquiler,Tarragona,65,389350,2004-12-10,Luisa
395,396,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07,Jesús
396,397,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10,Joaquín
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
414,415,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
418,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
428,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
440,441,2004-06-16,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
441,442,2004-06-16,Parking,Venta,Tarragona,211,872063,2005-02-26,Pedro
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
446,447,2004-06-17,Parking,Alquiler,Lleida,263,1779458,2005-01-24,Pedro
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
469,470,2004-06-25,Parking,Venta,Tarragona,191,875544,2004-11-01,Jesús
472,473,2004-06-25,Parking,Alquiler,Lleida,105,872760,2005-03-26,Carmen
489,490,2004-07-02,Parking,Alquiler,Barcelona,234,1911312,2005-04-08,Luisa
492,493,2004-07-03,Parking,Alquiler,Lleida,299,1948583,2004-12-21,María
508,509,2004-07-06,Parking,Venta,Tarragona,80,428240,2005-02-01,Pedro
511,512,2004-07-06,Parking,Alquiler,Tarragona,239,1782940,2004-11-13,Joaquín
520,521,2004-07-09,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
524,525,2004-07-10,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
532,533,2004-07-13,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
538,539,2004-07-16,Parking,Alquiler,Barcelona,111,761793,2005-07-11,María
539,540,2004-07-16,Parking,Alquiler,Tarragona,87,565587,2005-01-25,Joaquín
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
553,554,2004-07-21,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
560,561,2004-07-25,Parking,Alquiler,Lleida,53,280741,2005-07-01,Jesús
572,573,2004-07-28,Parking,Venta,Tarragona,243,1038825,2004-12-14,Jesús
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
579,580,2004-07-30,Parking,Venta,Tarragona,226,1634884,2005-07-20,María
584,585,2004-08-01,Parking,Alquiler,Girona,161,1050203,2005-02-04,Joaquín
591,592,2004-08-03,Parking,Alquiler,Girona,145,999630,2005-05-01,Pedro
595,596,2004-08-04,Parking,Venta,Lleida,62,358360,2005-07-23,Luisa
605,606,2004-08-10,Parking,Alquiler,Lleida,45,360765,2005-03-05,María
606,607,2004-08-10,Parking,Venta,Barcelona,49,418019,2005-02-22,Pedro
626,627,2004-08-16,Parking,Alquiler,Lleida,86,494758,2005-03-04,María
629,630,2004-08-17,Parking,Alquiler,Girona,170,1567060,2005-02-19,María
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
632,633,2004-08-17,Parking,Alquiler,Girona,167,1191044,2005-01-11,Luisa
636,637,2004-08-18,Parking,Alquiler,Barcelona,95,938030,2005-06-03,María
645,646,2004-08-20,Parking,Alquiler,Lleida,168,1192800,2005-07-14,Joaquín
649,650,2004-08-22,Parking,Venta,Lleida,80,777360,2005-04-21,Carmen
657,658,2004-08-23,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
661,662,2004-08-24,Parking,Alquiler,Girona,254,1963166,2005-07-27,Joaquín
667,668,2004-08-27,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
668,669,2004-08-27,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
673,674,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
683,684,2004-08-31,Parking,Venta,Tarragona,247,2285244,2005-03-07,María
688,689,2004-09-02,Parking,Venta,Girona,64,622144,2005-07-05,María
689,690,2004-09-02,Parking,Alquiler,Tarragona,81,723492,2005-07-10,Joaquín
697,698,2004-09-05,Parking,Alquiler,Girona,187,789140,2005-05-16,Carmen
709,710,2004-09-09,Parking,Venta,Lleida,274,1291636,2005-05-24,María
711,712,2004-09-10,Parking,Alquiler,Lleida,244,2280668,2005-07-16,María
725,726,2004-09-13,Parking,Venta,Girona,112,1081360,2005-05-03,María
729,730,2004-09-16,Parking,Alquiler,Tarragona,284,1830664,2005-01-02,Pedro
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
740,741,2004-09-21,Parking,Venta,Tarragona,126,1184274,2005-07-28,María
749,750,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14,Carmen
750,751,2004-09-23,Parking,Venta,Girona,132,556116,2005-09-11,Luisa
761,762,2004-09-26,Parking,Venta,Barcelona,48,371712,2005-08-14,María
775,776,2004-10-05,Parking,Venta,Lleida,76,411160,2005-02-15,Joaquín
783,784,2004-10-06,Parking,Alquiler,Tarragona,83,778706,2005-09-11,María
785,786,2004-10-06,Parking,Venta,Lleida,224,913248,2005-07-03,Jesús
815,816,2004-10-18,Parking,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
818,819,2004-10-19,Parking,Venta,Barcelona,102,562632,2005-09-01,Luisa
820,821,2004-10-19,Parking,Venta,Girona,161,1392006,2005-07-12,María
822,823,2004-10-20,Parking,Venta,Lleida,177,992793,2005-03-20,Carmen
830,831,2004-10-24,Parking,Venta,Girona,115,880900,2005-07-04,Carmen
834,835,2004-10-25,Parking,Venta,Lleida,168,1276800,2005-07-25,Carmen
839,840,2004-10-27,Parking,Alquiler,Girona,114,1040478,2005-04-29,Carmen
864,865,2004-11-06,Parking,Alquiler,Girona,110,523160,2005-09-11,Joaquín
865,866,2004-11-07,Parking,Venta,Girona,136,1054544,2005-09-18,María
868,869,2004-11-07,Parking,Alquiler,Lleida,183,1082079,2005-09-07,Carmen
879,880,2004-11-11,Parking,Alquiler,Lleida,272,1542784,2005-06-24,Joaquín
893,894,2004-11-14,Parking,Alquiler,Lleida,92,610696,2005-05-04,Jesús
900,901,2004-11-16,Parking,Alquiler,Girona,294,1653456,2005-07-18,Pedro
907,908,2004-11-18,Parking,Venta,Girona,134,933444,2005-04-17,Pedro
916,917,2004-11-21,Parking,Venta,Tarragona,263,1719757,2005-08-28,Pedro
923,924,2004-11-25,Parking,Alquiler,Girona,283,2213909,2005-05-10,Luisa
924,925,2004-11-25,Parking,Alquiler,Lleida,298,2039512,2005-10-11,Joaquín
931,932,2004-11-29,Parking,Venta,Lleida,121,754435,2005-04-23,Joaquín
932,933,2004-11-29,Parking,Alquiler,Tarragona,150,795000,2005-10-17,Luisa
935,936,2004-12-01,Parking,Alquiler,Girona,116,573040,2005-11-01,María
948,949,2004-12-05,Parking,Alquiler,Barcelona,206,1241562,2005-07-27,María
953,954,2004-12-08,Parking,Venta,Lleida,68,330956,2005-09-18,María
958,959,2004-12-10,Parking,Venta,Tarragona,291,1872876,2005-05-16,María
960,961,2004-12-10,Parking,Alquiler,Girona,96,535584,2005-10-22,Carmen
973,974,2004-12-15,Parking,Alquiler,Lleida,131,920144,2005-12-10,Jesús
995,996,2004-12-23,Parking,Alquiler,Girona,88,690184,2005-05-29,Carmen
999,1000,2004-12-24,Parking,Venta,Lleida,300,2707200,2005-10-15,Luisa
1002,1003,2004-12-25,Parking,Venta,Tarragona,87,638058,2005-07-19,Jesús
1009,1010,2004-12-27,Parking,Venta,Girona,211,945702,2005-12-04,Luisa
1015,1016,2005-01-01,Parking,Alquiler,Barcelona,142,1276864,2005-10-24,María
1016,1017,2005-01-01,Parking,Venta,Girona,217,2101862,2005-10-23,Carmen
1025,1026,2005-01-04,Parking,Alquiler,Barcelona,206,1231262,2005-07-10,Luisa
1044,1045,2005-01-11,Parking,Alquiler,Girona,260,2402920,2005-10-09,Joaquín
1050,1051,2005-01-12,Parking,Venta,Lleida,246,1940448,2005-10-08,Pedro
1057,1058,2005-01-15,Parking,Venta,Barcelona,221,1919827,2006-01-06,Joaquín
1061,1062,2005-01-18,Parking,Venta,Tarragona,68,652052,2005-09-20,Joaquín
1067,1068,2005-01-21,Parking,Venta,Barcelona,221,1471197,2005-10-17,Joaquín
1069,1070,2005-01-21,Parking,Venta,Lleida,232,1162784,2005-08-23,Pedro
1070,1071,2005-01-21,Parking,Venta,Girona,118,1134452,2005-04-27,Carmen
1074,1075,2005-01-23,Parking,Alquiler,Barcelona,290,2275050,2005-09-20,Jesús
1075,1076,2005-01-23,Parking,Venta,Lleida,72,298368,2005-04-26,Luisa
1083,1084,2005-01-25,Parking,Alquiler,Girona,287,1370138,2005-05-03,Joaquín
1086,1087,2005-01-26,Parking,Alquiler,Tarragona,197,1199730,2006-01-13,Luisa
1092,1093,2005-01-31,Parking,Alquiler,Girona,222,2209344,2005-09-09,Carmen
1104,1105,2005-02-03,Parking,Alquiler,Tarragona,97,541648,2005-06-11,Carmen
1108,1109,2005-02-05,Parking,Alquiler,Tarragona,286,2064634,2005-05-26,Carmen
1110,1111,2005-02-06,Parking,Alquiler,Barcelona,87,372447,2005-07-17,Jesús
1112,1113,2005-02-06,Parking,Venta,Tarragona,157,1323353,2005-07-25,Luisa
1117,1118,2005-02-09,Parking,Alquiler,Lleida,293,2741308,2005-10-20,María
1127,1128,2005-02-14,Parking,Venta,Barcelona,229,1859480,2006-01-06,Joaquín
1130,1131,2005-02-15,Parking,Venta,Barcelona,156,795912,2006-01-06,Carmen
1140,1141,2005-02-16,Parking,Venta,Lleida,179,1601334,2005-11-07,Jesús
1163,1164,2005-02-22,Parking,Venta,Lleida,174,750984,2005-07-07,Joaquín
1166,1167,2005-02-23,Parking,Venta,Lleida,152,1076464,2005-05-27,Pedro
1177,1178,2005-02-27,Parking,Venta,Tarragona,219,1468614,2005-10-10,Pedro
1182,1183,2005-03-01,Parking,Alquiler,Girona,45,360540,2005-09-02,María
1187,1188,2005-03-03,Parking,Alquiler,Girona,93,375813,2005-07-12,Pedro
1189,1190,2005-03-03,Parking,Venta,Girona,153,1401633,2005-09-14,Carmen
1219,1220,2005-03-12,Parking,Venta,Tarragona,90,438480,2005-10-23,Joaquín
1222,1223,2005-03-12,Parking,Venta,Girona,181,1805475,2005-06-10,María
1223,1224,2005-03-13,Parking,Venta,Tarragona,124,1070740,2005-12-22,Carmen
1224,1225,2005-03-14,Parking,Venta,Girona,164,785068,2006-01-22,Jesús
1232,1233,2005-03-17,Parking,Venta,Lleida,88,820776,2005-08-20,Carmen
1244,1245,2005-03-20,Parking,Venta,Girona,276,1477428,2005-11-23,María
1245,1246,2005-03-21,Parking,Venta,Barcelona,68,367132,2005-08-31,Joaquín
1248,1249,2005-03-22,Parking,Alquiler,Barcelona,99,500148,2005-08-09,Joaquín
1256,1257,2005-03-25,Parking,Venta,Girona,117,1149525,2006-02-27,Pedro
1266,1267,2005-03-29,Parking,Venta,Lleida,40,349720,2006-02-14,Luisa
1270,1271,2005-03-30,Parking,Venta,Tarragona,196,1730876,2005-07-12,Luisa
1285,1286,2005-04-05,Parking,Alquiler,Girona,297,2872287,2005-09-16,Luisa
1307,1308,2005-04-15,Parking,Venta,Lleida,149,1004707,2006-01-18,Joaquín
1308,1309,2005-04-15,Parking,Alquiler,Lleida,99,574200,2005-09-16,Pedro
1314,1315,2005-04-17,Parking,Alquiler,Lleida,116,1035416,2006-02-01,María
1327,1328,2005-04-20,Parking,Alquiler,Barcelona,273,2306031,2005-09-25,Carmen
1331,1332,2005-04-21,Parking,Alquiler,Tarragona,281,1619122,2005-09-26,Luisa
1341,1342,2005-04-25,Parking,Venta,Barcelona,194,1698664,2006-03-20,Carmen
1343,1344,2005-04-25,Parking,Venta,Tarragona,285,1500240,2005-08-20,Carmen
1358,1359,2005-04-29,Parking,Venta,Tarragona,256,1059328,2006-04-17,Jesús
1359,1360,2005-04-29,Parking,Venta,Tarragona,196,1201480,2005-09-18,María
1368,1369,2005-05-02,Parking,Alquiler,Lleida,128,976384,2006-04-19,Joaquín
1378,1379,2005-05-06,Parking,Alquiler,Barcelona,119,1013523,2005-08-17,Joaquín
1381,1382,2005-05-06,Parking,Venta,Tarragona,248,1352096,2006-03-14,Jesús
1384,1385,2005-05-08,Parking,Venta,Barcelona,258,2066064,2005-11-25,María
1388,1389,2005-05-08,Parking,Venta,Girona,203,1892772,2006-03-26,María
1404,1405,2005-05-15,Parking,Venta,Girona,71,493166,2005-12-08,Joaquín
1405,1406,2005-05-15,Parking,Venta,Barcelona,163,1531222,2005-10-28,Joaquín
1407,1408,2005-05-16,Parking,Venta,Barcelona,185,1384355,2005-11-15,Luisa
1421,1422,2005-05-22,Parking,Alquiler,Girona,282,1132230,2006-03-20,Pedro
1422,1423,2005-05-23,Parking,Alquiler,Tarragona,280,1240400,2005-11-04,Jesús
1424,1425,2005-05-23,Parking,Venta,Barcelona,63,516159,2006-03-13,Luisa
1426,1427,2005-05-24,Parking,Alquiler,Girona,223,2228439,2005-09-17,Carmen
1433,1434,2005-05-27,Parking,Venta,Tarragona,134,572984,2005-12-30,Jesús
1437,1438,2005-05-28,Parking,Venta,Lleida,108,1001376,2006-02-10,Carmen
1439,1440,2005-05-28,Parking,Venta,Girona,255,1504755,2005-10-31,Luisa
1445,1446,2005-05-30,Parking,Venta,Tarragona,54,470988,2006-01-02,María
1457,1458,2005-06-05,Parking,Venta,Girona,277,1691085,2005-11-19,Pedro
1462,1463,2005-06-07,Parking,Alquiler,Tarragona,177,1591584,2005-10-30,Joaquín
1471,1472,2005-06-10,Parking,Alquiler,Lleida,141,1250952,2006-02-26,Luisa
1475,1476,2005-06-11,Parking,Alquiler,Lleida,248,2172232,2005-09-20,Pedro
1476,1477,2005-06-12,Parking,Alquiler,Girona,73,364270,2006-02-02,María
1483,1484,2005-06-13,Parking,Alquiler,Barcelona,282,2677590,2006-04-08,Luisa
1489,1490,2005-06-16,Parking,Venta,Barcelona,112,691712,2006-04-10,Pedro
1506,1507,2005-06-22,Parking,Venta,Tarragona,118,716260,2006-04-04,Luisa
1509,1510,2005-06-22,Parking,Venta,Tarragona,163,763329,2006-02-05,Joaquín
1526,1527,2005-06-30,Parking,Venta,Tarragona,50,400600,2005-10-02,María
1535,1536,2005-07-04,Parking,Venta,Girona,43,361759,2005-12-01,Jesús
1543,1544,2005-07-06,Parking,Venta,Lleida,199,1573493,2006-07-02,Luisa
1551,1552,2005-07-10,Parking,Venta,Barcelona,108,436428,2006-04-28,Jesús
1563,1564,2005-07-15,Parking,Venta,Lleida,240,1983840,2005-10-18,Pedro
1569,1570,2005-07-17,Parking,Alquiler,Barcelona,67,347931,2006-04-28,Pedro
1581,1582,2005-07-21,Parking,Alquiler,Lleida,297,2463021,2006-03-13,María
1586,1587,2005-07-23,Parking,Venta,Lleida,101,478639,2006-01-07,Joaquín
1590,1591,2005-07-24,Parking,Venta,Tarragona,255,1627920,2006-03-12,Jesús
1591,1592,2005-07-24,Parking,Venta,Barcelona,207,1107864,2006-05-15,Luisa
1594,1595,2005-07-25,Parking,Venta,Lleida,96,645408,2006-05-27,Luisa
1596,1597,2005-07-26,Parking,Venta,Lleida,256,1656064,2006-02-02,Pedro
1606,1607,2005-07-31,Parking,Alquiler,Lleida,106,437674,2005-12-08,Luisa
1619,1620,2005-08-04,Parking,Alquiler,Girona,56,375592,2006-02-20,Jesús
1626,1627,2005-08-06,Parking,Venta,Barcelona,245,1202705,2005-12-10,Jesús
1627,1628,2005-08-06,Parking,Venta,Girona,297,2440449,2006-08-03,Carmen
1628,1629,2005-08-06,Parking,Alquiler,Lleida,99,942579,2006-03-03,María
1636,1637,2005-08-08,Parking,Venta,Barcelona,112,829808,2006-03-29,Joaquín
1638,1639,2005-08-09,Parking,Venta,Lleida,300,2155200,2006-08-05,Jesús
1639,1640,2005-08-09,Parking,Alquiler,Tarragona,162,1297134,2006-02-14,María
1645,1646,2005-08-11,Parking,Venta,Girona,184,1147608,2006-06-29,Luisa
1650,1651,2005-08-14,Parking,Venta,Lleida,77,592823,2006-03-25,Pedro
1657,1658,2005-08-16,Parking,Alquiler,Barcelona,232,1643256,2006-02-22,María
1662,1663,2005-08-18,Parking,Alquiler,Barcelona,224,986048,2006-02-10,María
1686,1687,2005-08-29,Parking,Alquiler,Girona,82,700854,2006-04-22,María
1689,1690,2005-08-30,Parking,Venta,Girona,142,681884,2006-06-12,Carmen
1699,1700,2005-09-03,Parking,Venta,Barcelona,163,1150128,2006-03-18,Joaquín
1708,1709,2005-09-07,Parking,Alquiler,Barcelona,173,842683,2006-01-30,Joaquín
1711,1712,2005-09-08,Parking,Alquiler,Lleida,115,907580,2006-07-11,Carmen
1716,1717,2005-09-09,Parking,Alquiler,Tarragona,153,824517,2006-05-31,María
1723,1724,2005-09-10,Parking,Venta,Tarragona,270,1798470,2006-03-02,Joaquín
1730,1731,2005-09-12,Parking,Venta,Tarragona,223,2143922,2006-04-20,Jesús
1734,1735,2005-09-14,Parking,Alquiler,Girona,258,1430352,2006-01-14,María
1741,1742,2005-09-17,Parking,Venta,Girona,70,428190,2006-02-20,Jesús
1745,1746,2005-09-19,Parking,Alquiler,Barcelona,193,1540140,2006-08-08,Jesús
1750,1751,2005-09-21,Parking,Alquiler,Girona,258,1758786,2006-02-24,Jesús
1757,1758,2005-09-24,Parking,Alquiler,Lleida,47,403401,2006-01-24,María
1766,1767,2005-09-29,Parking,Venta,Lleida,82,764240,2006-01-15,Pedro
1775,1776,2005-10-01,Parking,Venta,Tarragona,229,2215117,2006-08-01,Jesús
1783,1784,2005-10-03,Parking,Alquiler,Girona,85,809115,2006-05-25,María
1786,1787,2005-10-03,Parking,Venta,Tarragona,299,2669472,2006-06-10,Joaquín
1787,1788,2005-10-03,Parking,Venta,Girona,85,658835,2006-07-14,Luisa
1822,1823,2005-10-15,Parking,Alquiler,Barcelona,271,2334123,2006-08-02,Joaquín
1835,1836,2005-10-20,Parking,Alquiler,Barcelona,133,745864,2006-06-01,María
1836,1837,2005-10-20,Parking,Alquiler,Lleida,46,237176,2006-08-08,María
1843,1844,2005-10-23,Parking,Alquiler,Tarragona,107,658157,2006-03-16,Pedro
1849,1850,2005-10-28,Parking,Alquiler,Barcelona,218,991900,2006-05-28,Jesús
1850,1851,2005-10-28,Parking,Venta,Tarragona,162,957582,2006-03-24,Joaquín
1857,1858,2005-10-30,Parking,Alquiler,Lleida,103,536733,2006-10-28,María
1861,1862,2005-11-02,Parking,Venta,Barcelona,249,2221329,2006-05-12,Pedro
1866,1867,2005-11-03,Parking,Venta,Tarragona,111,514596,2006-05-27,Luisa
1872,1873,2005-11-05,Parking,Alquiler,Tarragona,122,1162172,2006-02-26,Luisa
1882,1883,2005-11-09,Parking,Alquiler,Girona,156,1508988,2006-09-18,Jesús
1886,1887,2005-11-13,Parking,Venta,Barcelona,156,692484,2006-02-19,Pedro
1893,1894,2005-11-14,Parking,Venta,Girona,46,426880,2006-05-16,Luisa
1902,1903,2005-11-19,Parking,Venta,Barcelona,145,1213505,2006-11-05,Pedro
1907,1908,2005-11-21,Parking,Venta,Lleida,51,472668,2006-04-04,María
1908,1909,2005-11-21,Parking,Alquiler,Tarragona,119,508606,2006-08-17,Carmen
1917,1918,2005-11-23,Parking,Venta,Girona,45,301815,2006-10-19,Joaquín
1923,1924,2005-11-25,Parking,Alquiler,Tarragona,295,2613405,2006-11-23,Carmen
1926,1927,2005-11-26,Parking,Alquiler,Girona,46,187680,2006-11-13,Luisa
1952,1953,2005-12-06,Parking,Alquiler,Girona,250,2103000,2006-09-13,Jesús
1957,1958,2005-12-09,Parking,Alquiler,Lleida,296,1536832,2006-08-22,Joaquín
1964,1965,2005-12-13,Parking,Alquiler,Lleida,57,293949,2006-11-06,Pedro
1972,1973,2005-12-17,Parking,Venta,Girona,67,490507,2006-04-01,María
1973,1974,2005-12-17,Parking,Alquiler,Girona,57,387828,2006-03-25,Luisa
1986,1987,2005-12-21,Parking,Alquiler,Girona,139,875978,2006-05-04,Jesús
2005,2006,2005-12-27,Parking,Venta,Girona,272,1774528,2006-06-21,Jesús
2008,2009,2005-12-27,Parking,Alquiler,Tarragona,137,927627,2006-12-05,Pedro
2014,2015,2005-12-30,Parking,Venta,Girona,262,1407726,2006-11-01,María
2016,2017,2005-12-31,Parking,Alquiler,Barcelona,202,1329968,2006-10-22,María
2018,2019,2006-01-01,Parking,Alquiler,Tarragona,204,1347420,2006-07-13,Jesús
2030,2031,2006-01-03,Parking,Venta,Lleida,233,1450425,2006-07-16,Luisa
2035,2036,2006-01-05,Parking,Venta,Barcelona,90,446940,2006-06-26,María
2038,2039,2006-01-06,Parking,Venta,Barcelona,199,1139076,2006-06-21,Joaquín
2050,2051,2006-01-11,Parking,Venta,Tarragona,130,1275560,2006-11-13,María
2083,2084,2006-01-19,Parking,Alquiler,Girona,188,1422220,2006-07-20,María
2086,2087,2006-01-20,Parking,Alquiler,Barcelona,265,2119735,2006-10-15,Pedro
2105,2106,2006-01-25,Parking,Alquiler,Tarragona,212,1440540,2006-10-10,Jesús
2111,2112,2006-01-26,Parking,Venta,Tarragona,81,709560,2006-06-28,Joaquín
2115,2116,2006-01-28,Parking,Alquiler,Tarragona,294,1355046,2006-10-02,Jesús
2123,2124,2006-02-01,Parking,Venta,Lleida,89,475171,2006-10-12,Luisa
2127,2128,2006-02-02,Parking,Venta,Lleida,264,2181432,2006-12-25,María
2133,2134,2006-02-03,Parking,Venta,Lleida,235,2290545,2006-08-22,Carmen
2137,2138,2006-02-04,Parking,Venta,Girona,108,1041120,2006-05-07,Pedro
2142,2143,2006-02-06,Parking,Alquiler,Tarragona,124,536672,2007-01-30,María
2152,2153,2006-02-09,Parking,Venta,Barcelona,227,2001232,2006-12-06,María
2160,2161,2006-02-12,Parking,Venta,Lleida,210,1511160,2006-10-21,Luisa
2165,2166,2006-02-14,Parking,Alquiler,Girona,131,1163542,2007-01-18,Luisa
2169,2170,2006-02-15,Parking,Alquiler,Tarragona,132,973764,2006-05-19,Joaquín
2185,2186,2006-02-20,Parking,Alquiler,Barcelona,228,1815336,2006-06-10,Jesús
2192,2193,2006-02-21,Parking,Alquiler,Barcelona,260,2470000,2006-05-27,Luisa
2201,2202,2006-02-24,Parking,Venta,Barcelona,135,764505,2006-06-10,Pedro
2220,2221,2006-03-04,Parking,Alquiler,Girona,269,1908286,2007-01-29,Jesús
2223,2224,2006-03-05,Parking,Venta,Barcelona,293,1996209,2006-07-26,Jesús
