Provincia,Operación,Superficie,Precio Venta,Vendedor
Lleida,Alquiler,76,501220,Jesús
Lleida,Alquiler,163,1317529,Luisa
Lleida,Alquiler,247,1210053,Jesús
Lleida,Venta,269,2586704,Carmen
Lleida,Alquiler,264,2582184,Luisa
Lleida,Alquiler,298,1331166,Joaquín
Lleida,Alquiler,296,1602544,Jesús
Lleida,Alquiler,278,2188138,María
Lleida,Alquiler,72,702576,Carmen
Lleida,Alquiler,46,435252,Luisa
Lleida,Venta,56,425432,Luisa
Lleida,Alquiler,201,1287807,Carmen
Lleida,Alquiler,114,1019160,Carmen
Lleida,Alquiler,207,1042659,Jesús
Lleida,Alquiler,52,338364,Carmen
Lleida,Alquiler,205,1980300,Joaquín
Lleida,Alquiler,263,1779458,Pedro
Lleida,Alquiler,248,1674744,Luisa
Lleida,Venta,215,2097970,Pedro
Lleida,Venta,195,1797120,María
Lleida,Alquiler,104,511680,Luisa
Lleida,Alquiler,204,924732,María
Lleida,Alquiler,268,2628812,Pedro
Lleida,Venta,155,801350,Pedro
Lleida,Alquiler,105,872760,Carmen
Lleida,Alquiler,88,851488,Carmen
Lleida,Alquiler,86,855442,Jesús
Lleida,Alquiler,189,913248,Luisa
Lleida,Venta,58,530816,Luisa
Lleida,Venta,134,946710,Carmen
Lleida,Venta,261,2475063,Carmen
Lleida,Alquiler,185,1306840,Carmen
Lleida,Venta,282,1298328,Jesús
Lleida,Alquiler,299,1948583,María
Lleida,Alquiler,155,1166065,Jesús
Lleida,Alquiler,240,2238000,Pedro
Lleida,Venta,229,965006,Pedro
Lleida,Alquiler,224,2087904,Jesús
Lleida,Venta,186,1216254,María
Lleida,Venta,40,258560,Jesús
Lleida,Alquiler,42,279342,María
Lleida,Venta,223,1293400,Carmen
Lleida,Venta,280,1249360,Pedro
Lleida,Alquiler,231,2273040,Joaquín
Lleida,Alquiler,206,1414602,Carmen
Lleida,Venta,86,446856,María
Lleida,Alquiler,182,999726,Carmen
Lleida,Alquiler,280,1730680,Carmen
Lleida,Venta,82,419348,Jesús
Lleida,Venta,65,628095,María
Lleida,Alquiler,275,1711325,Luisa
Lleida,Venta,57,567492,Carmen
Lleida,Alquiler,53,280741,Jesús
Lleida,Alquiler,112,513968,Jesús
Lleida,Venta,153,639999,Luisa
Lleida,Alquiler,79,659808,Pedro
Lleida,Alquiler,58,251430,Carmen
Lleida,Venta,290,2584480,Jesús
Lleida,Alquiler,77,613921,María
Lleida,Venta,62,358360,Luisa
Lleida,Venta,71,323760,María
Lleida,Venta,94,735456,María
Lleida,Alquiler,76,738568,Joaquín
Lleida,Alquiler,149,704323,Luisa
Lleida,Alquiler,212,1817264,María
Lleida,Alquiler,45,360765,María
Lleida,Venta,210,1117620,Carmen
Lleida,Venta,287,1790880,Pedro
Lleida,Venta,283,1992320,María
Lleida,Venta,172,1283980,Carmen
Lleida,Alquiler,78,391560,Pedro
Lleida,Alquiler,86,494758,María
Lleida,Alquiler,255,2338095,Carmen
Lleida,Alquiler,168,1192800,Joaquín
Lleida,Alquiler,46,386354,Pedro
Lleida,Venta,80,777360,Carmen
Lleida,Venta,284,1589832,Luisa
Lleida,Venta,271,1457980,Luisa
Lleida,Venta,274,1577692,Joaquín
Lleida,Alquiler,121,1049433,Jesús
Lleida,Alquiler,240,1214880,Luisa
Lleida,Venta,163,688838,Luisa
Lleida,Venta,177,1022883,María
Lleida,Alquiler,88,392832,María
Lleida,Venta,205,1524585,Pedro
Lleida,Venta,274,1291636,María
Lleida,Alquiler,244,2280668,María
Lleida,Alquiler,235,2135210,Pedro
Lleida,Alquiler,43,329681,Jesús
Lleida,Alquiler,197,1905187,Pedro
Lleida,Venta,85,644470,María
Lleida,Alquiler,85,780980,Joaquín
Lleida,Alquiler,294,1201578,Luisa
Lleida,Venta,56,542864,María
Lleida,Venta,83,445295,Pedro
Lleida,Venta,114,679554,Pedro
Lleida,Venta,67,399655,Luisa
Lleida,Venta,185,1343840,Carmen
Lleida,Venta,59,484744,Joaquín
Lleida,Venta,204,1606500,Carmen
Lleida,Venta,76,411160,Joaquín
Lleida,Alquiler,158,1217390,Luisa
Lleida,Venta,224,913248,Jesús
Lleida,Venta,88,507320,María
Lleida,Alquiler,110,950290,Carmen
Lleida,Venta,114,1106028,María
Lleida,Venta,214,1805518,Carmen
Lleida,Venta,177,992793,Carmen
Lleida,Venta,152,1218888,Joaquín
Lleida,Venta,143,1409551,Jesús
Lleida,Alquiler,212,1968632,Pedro
Lleida,Venta,168,1276800,Carmen
Lleida,Venta,109,1029178,Joaquín
Lleida,Alquiler,299,2430272,Carmen
Lleida,Alquiler,251,1821758,Luisa
Lleida,Venta,288,2242656,Jesús
Lleida,Alquiler,183,1082079,Carmen
Lleida,Alquiler,295,2923155,Luisa
Lleida,Alquiler,128,549120,Carmen
Lleida,Venta,147,1070307,Pedro
Lleida,Alquiler,272,1542784,Joaquín
Lleida,Alquiler,113,645569,Carmen
Lleida,Alquiler,151,719213,Jesús
Lleida,Alquiler,95,412395,María
Lleida,Alquiler,236,1420012,Pedro
Lleida,Alquiler,92,610696,Jesús
Lleida,Alquiler,64,581568,Carmen
Lleida,Alquiler,200,1967400,Pedro
Lleida,Alquiler,250,1676500,Pedro
Lleida,Alquiler,155,1511095,María
Lleida,Alquiler,197,1662089,Carmen
Lleida,Alquiler,270,1311660,María
Lleida,Venta,217,1238202,Joaquín
Lleida,Alquiler,298,2039512,Joaquín
Lleida,Venta,223,2053384,Carmen
Lleida,Venta,121,754435,Joaquín
Lleida,Alquiler,164,1373008,Pedro
Lleida,Venta,103,474624,Carmen
Lleida,Venta,68,330956,María
Lleida,Venta,190,1593720,Pedro
Lleida,Alquiler,213,1994532,María
Lleida,Alquiler,96,769824,Jesús
Lleida,Venta,272,2581552,Pedro
Lleida,Venta,200,1145600,María
Lleida,Alquiler,126,600642,Jesús
Lleida,Alquiler,131,920144,Jesús
Lleida,Venta,77,409563,Pedro
Lleida,Alquiler,278,1678286,Jesús
Lleida,Alquiler,212,1753240,Joaquín
Lleida,Venta,258,1894752,Carmen
Lleida,Venta,81,528120,Joaquín
Lleida,Venta,300,2707200,Luisa
Lleida,Venta,95,866780,Jesús
Lleida,Venta,215,1706240,Pedro
Lleida,Venta,121,622787,Carmen
Lleida,Venta,47,369984,Jesús
Lleida,Alquiler,201,1176855,María
Lleida,Venta,81,610416,Joaquín
Lleida,Alquiler,269,1089181,Joaquín
Lleida,Alquiler,171,1236672,Luisa
Lleida,Venta,180,1636560,Luisa
Lleida,Venta,271,2496723,Jesús
Lleida,Alquiler,264,1441440,Pedro
Lleida,Venta,246,1940448,Pedro
Lleida,Alquiler,149,1250408,Pedro
Lleida,Alquiler,200,1502800,Joaquín
Lleida,Venta,108,892620,Pedro
Lleida,Venta,232,1162784,Pedro
Lleida,Alquiler,293,2141830,Joaquín
Lleida,Venta,72,298368,Luisa
Lleida,Alquiler,287,2279354,Joaquín
Lleida,Alquiler,260,2546180,Carmen
Lleida,Alquiler,73,468952,Joaquín
Lleida,Venta,125,932250,María
Lleida,Venta,114,786714,Luisa
Lleida,Alquiler,199,1009328,Pedro
Lleida,Venta,110,924990,Pedro
Lleida,Alquiler,179,963020,Pedro
Lleida,Venta,96,493632,Jesús
Lleida,Alquiler,293,2741308,María
Lleida,Venta,176,1592624,Carmen
Lleida,Venta,132,712404,Carmen
Lleida,Venta,67,297882,Joaquín
Lleida,Venta,75,563475,Pedro
Lleida,Venta,179,1601334,Jesús
Lleida,Alquiler,153,1519137,Carmen
Lleida,Alquiler,61,481656,Carmen
Lleida,Alquiler,105,909090,Jesús
Lleida,Venta,272,2021232,Jesús
Lleida,Venta,197,1594715,Luisa
Lleida,Venta,174,750984,Joaquín
Lleida,Alquiler,214,1665134,Pedro
Lleida,Alquiler,227,1820540,Luisa
Lleida,Venta,152,1076464,Pedro
Lleida,Venta,83,463306,María
Lleida,Venta,72,322344,María
Lleida,Alquiler,77,711634,Jesús
Lleida,Alquiler,94,639952,Luisa
Lleida,Venta,237,1013175,Pedro
Lleida,Alquiler,247,1504477,Jesús
Lleida,Venta,229,935694,Jesús
Lleida,Alquiler,42,293370,Pedro
Lleida,Alquiler,281,2688046,Luisa
Lleida,Venta,291,1497195,María
Lleida,Venta,88,820776,Carmen
Lleida,Venta,116,848888,Jesús
Lleida,Venta,233,1673173,Joaquín
Lleida,Alquiler,55,376090,Joaquín
Lleida,Venta,149,839615,María
Lleida,Alquiler,285,2562435,Carmen
Lleida,Venta,40,349720,Luisa
Lleida,Venta,189,1821771,Pedro
Lleida,Alquiler,222,1617270,Luisa
Lleida,Alquiler,285,2232690,María
Lleida,Alquiler,132,1040028,María
Lleida,Venta,124,804884,Carmen
Lleida,Alquiler,285,1938000,Joaquín
Lleida,Alquiler,175,1560125,Luisa
Lleida,Alquiler,170,1566720,Pedro
Lleida,Venta,89,716272,Carmen
Lleida,Venta,149,1004707,Joaquín
Lleida,Alquiler,99,574200,Pedro
Lleida,Alquiler,267,1517628,Carmen
Lleida,Alquiler,165,921195,Luisa
Lleida,Alquiler,116,1035416,María
Lleida,Alquiler,281,1727588,Luisa
Lleida,Venta,245,2396835,Joaquín
Lleida,Alquiler,84,431760,Carmen
Lleida,Alquiler,263,2094795,Carmen
Lleida,Alquiler,79,705628,Luisa
Lleida,Alquiler,51,370158,Jesús
Lleida,Venta,201,1850004,Joaquín
Lleida,Venta,285,1827420,Luisa
Lleida,Venta,82,783510,Joaquín
Lleida,Alquiler,128,976384,Joaquín
Lleida,Alquiler,240,1270800,Luisa
Lleida,Venta,224,2211328,Pedro
Lleida,Venta,104,609128,María
Lleida,Alquiler,94,902212,Jesús
Lleida,Alquiler,101,634583,María
Lleida,Alquiler,141,843180,Carmen
Lleida,Venta,111,924741,Carmen
Lleida,Alquiler,292,1177052,Jesús
Lleida,Alquiler,223,1623217,Luisa
Lleida,Venta,190,1670100,María
Lleida,Venta,206,1733696,Pedro
Lleida,Alquiler,200,1046800,María
Lleida,Venta,63,416430,Pedro
Lleida,Venta,175,1428350,Jesús
Lleida,Venta,108,1001376,Carmen
Lleida,Alquiler,204,958392,Joaquín
Lleida,Alquiler,188,1579012,María
Lleida,Alquiler,258,1687836,María
Lleida,Venta,93,496806,Joaquín
Lleida,Venta,80,471440,Luisa
Lleida,Venta,299,2333097,María
Lleida,Alquiler,54,419256,Pedro
Lleida,Alquiler,141,1250952,Luisa
Lleida,Alquiler,248,2172232,Pedro
Lleida,Venta,109,537915,Carmen
Lleida,Venta,144,1323792,Jesús
Lleida,Venta,278,2520904,Luisa
Lleida,Venta,125,595750,Joaquín
Lleida,Venta,52,317044,Jesús
Lleida,Alquiler,157,977011,Carmen
Lleida,Venta,213,1587063,Carmen
Lleida,Venta,199,987040,Luisa
Lleida,Alquiler,200,1689000,Luisa
Lleida,Venta,182,805714,Carmen
Lleida,Venta,74,659858,Carmen
Lleida,Venta,175,999950,Carmen
Lleida,Venta,158,1454232,Pedro
Lleida,Venta,251,2325766,Joaquín
Lleida,Venta,124,1045816,Carmen
Lleida,Venta,199,1573493,Luisa
Lleida,Venta,88,866008,Pedro
Lleida,Venta,240,1983840,Pedro
Lleida,Alquiler,140,706440,Pedro
Lleida,Alquiler,210,2005080,Pedro
Lleida,Alquiler,298,2207286,Pedro
Lleida,Alquiler,297,2463021,María
Lleida,Venta,101,478639,Joaquín
Lleida,Venta,287,1607487,Carmen
Lleida,Venta,142,682168,Jesús
Lleida,Venta,96,645408,Luisa
Lleida,Venta,256,1656064,Pedro
Lleida,Alquiler,114,764370,Carmen
Lleida,Venta,136,1309544,Joaquín
Lleida,Alquiler,106,437674,Luisa
Lleida,Alquiler,95,563255,Jesús
Lleida,Venta,245,2292465,Carmen
Lleida,Venta,275,2110900,Pedro
Lleida,Alquiler,126,757260,Pedro
Lleida,Alquiler,86,685592,Pedro
Lleida,Alquiler,73,328646,Carmen
Lleida,Alquiler,99,942579,María
Lleida,Venta,201,1522977,Carmen
Lleida,Venta,300,2155200,Jesús
Lleida,Alquiler,93,552513,Pedro
Lleida,Venta,276,2667816,Joaquín
Lleida,Venta,77,592823,Pedro
Lleida,Alquiler,159,761928,Carmen
Lleida,Alquiler,137,804327,Joaquín
Lleida,Alquiler,79,411669,Pedro
Lleida,Alquiler,212,1926868,Carmen
Lleida,Venta,167,1423007,Carmen
Lleida,Alquiler,238,2275994,Joaquín
Lleida,Alquiler,69,442635,María
Lleida,Alquiler,103,872204,María
Lleida,Venta,223,1509710,Jesús
Lleida,Venta,300,2625600,María
Lleida,Venta,48,474864,Luisa
Lleida,Alquiler,70,615440,Jesús
Lleida,Venta,97,765815,María
Lleida,Alquiler,252,1923516,Pedro
Lleida,Venta,78,391950,Jesús
Lleida,Venta,233,2171327,Jesús
Lleida,Alquiler,198,840312,Pedro
Lleida,Venta,288,2171520,Carmen
Lleida,Alquiler,115,907580,Carmen
Lleida,Venta,121,747659,Pedro
Lleida,Alquiler,173,994750,Joaquín
Lleida,Alquiler,142,1201462,Jesús
Lleida,Alquiler,194,1931658,Jesús
Lleida,Venta,55,433235,Carmen
Lleida,Alquiler,85,613275,Pedro
Lleida,Alquiler,47,403401,María
Lleida,Venta,214,1689316,Carmen
Lleida,Venta,82,764240,Pedro
Lleida,Alquiler,148,644688,Jesús
Lleida,Venta,193,1033515,Pedro
Lleida,Venta,300,1506300,Pedro
Lleida,Venta,82,359406,Pedro
Lleida,Alquiler,132,882420,Carmen
Lleida,Alquiler,289,2249576,Carmen
Lleida,Venta,160,1319520,Jesús
Lleida,Venta,253,2378453,Luisa
Lleida,Venta,129,735945,Joaquín
Lleida,Venta,215,1473180,Pedro
Lleida,Venta,255,2063460,Luisa
Lleida,Venta,245,1605730,Pedro
Lleida,Venta,122,497272,Luisa
Lleida,Alquiler,257,2136184,Jesús
Lleida,Alquiler,159,724563,Jesús
Lleida,Venta,202,1867692,Jesús
Lleida,Alquiler,211,1284568,Carmen
Lleida,Alquiler,71,388583,Jesús
Lleida,Alquiler,46,237176,María
Lleida,Venta,254,2299208,Pedro
Lleida,Alquiler,205,1597360,Carmen
Lleida,Venta,254,2394204,María
Lleida,Alquiler,103,536733,María
Lleida,Venta,228,1944840,María
Lleida,Venta,71,299407,María
Lleida,Venta,70,540890,Jesús
Lleida,Venta,128,706560,Carmen
Lleida,Venta,93,589155,Carmen
Lleida,Alquiler,191,1370998,Joaquín
Lleida,Alquiler,186,1713990,María
Lleida,Alquiler,74,341584,Luisa
Lleida,Venta,280,1720320,María
Lleida,Venta,191,804683,María
Lleida,Alquiler,163,1179957,María
Lleida,Alquiler,65,431275,Luisa
Lleida,Alquiler,87,756900,Carmen
Lleida,Venta,51,472668,María
Lleida,Alquiler,161,914641,Joaquín
Lleida,Alquiler,177,1736901,María
Lleida,Venta,263,2323868,Pedro
Lleida,Venta,172,1701080,María
Lleida,Venta,289,1406563,Jesús
Lleida,Venta,264,1545720,Luisa
Lleida,Alquiler,176,1189936,Carmen
Lleida,Alquiler,162,1341684,María
Lleida,Venta,264,1346136,Joaquín
Lleida,Alquiler,296,1536832,Joaquín
Lleida,Alquiler,57,293949,Pedro
Lleida,Venta,216,2046384,Pedro
Lleida,Venta,218,1732446,Jesús
Lleida,Venta,281,2671748,Carmen
Lleida,Venta,116,984144,Luisa
Lleida,Alquiler,142,629628,Luisa
Lleida,Venta,259,1555813,Carmen
Lleida,Alquiler,137,740211,Pedro
Lleida,Alquiler,80,322960,Pedro
Lleida,Alquiler,150,873000,Jesús
Lleida,Alquiler,277,1499678,Luisa
Lleida,Venta,233,1450425,Luisa
Lleida,Venta,289,1809140,Joaquín
Lleida,Alquiler,207,2014110,Joaquín
Lleida,Alquiler,107,567742,Jesús
Lleida,Venta,261,1615851,Jesús
Lleida,Alquiler,54,466722,Jesús
Lleida,Alquiler,129,562827,Joaquín
Lleida,Alquiler,255,2494410,Luisa
Lleida,Alquiler,272,2487712,Carmen
Lleida,Venta,209,1355365,Joaquín
Lleida,Alquiler,246,2398008,Jesús
Lleida,Venta,101,674276,Luisa
Lleida,Alquiler,178,1104846,Jesús
Lleida,Venta,171,1298403,Carmen
Lleida,Venta,40,272880,María
Lleida,Alquiler,137,831316,Jesús
Lleida,Venta,144,1247760,Luisa
Lleida,Venta,80,727680,Joaquín
Lleida,Alquiler,237,1438827,Pedro
Lleida,Venta,84,816228,Jesús
Lleida,Venta,91,528892,María
Lleida,Venta,261,2233899,Luisa
Lleida,Venta,258,2111472,Joaquín
Lleida,Alquiler,136,656744,Luisa
Lleida,Alquiler,95,748790,Luisa
Lleida,Venta,246,1285842,Jesús
Lleida,Venta,89,475171,Luisa
Lleida,Venta,157,1409546,Pedro
Lleida,Venta,264,2181432,María
Lleida,Venta,168,928368,Jesús
Lleida,Venta,235,2290545,Carmen
Lleida,Alquiler,129,1140876,Pedro
Lleida,Alquiler,194,1315126,Luisa
Lleida,Alquiler,65,272545,Carmen
Lleida,Venta,43,303365,Pedro
Lleida,Venta,210,1511160,Luisa
Lleida,Alquiler,141,1401822,María
Lleida,Alquiler,201,1733022,Pedro
Lleida,Venta,188,1541976,Joaquín
Lleida,Alquiler,117,561132,Luisa
Lleida,Venta,153,1140156,Joaquín
Lleida,Venta,249,1307250,Luisa
Lleida,Venta,168,850752,Joaquín
Lleida,Venta,160,800160,Jesús
Lleida,Venta,166,685082,Joaquín
Lleida,Alquiler,240,1706400,Pedro
Lleida,Venta,146,1095146,María
Lleida,Alquiler,141,659316,Luisa
Lleida,Alquiler,74,697746,Carmen
Lleida,Alquiler,48,348720,Luisa
Lleida,Alquiler,126,1177722,Pedro
Lleida,Alquiler,217,1659833,Luisa
Lleida,Venta,48,400512,Pedro
Lleida,Alquiler,178,1171418,María
Lleida,Alquiler,93,435333,Jesús
Lleida,Alquiler,274,1456858,Pedro
Lleida,Alquiler,114,978120,María
Lleida,Venta,108,780516,Joaquín
Lleida,Venta,97,950891,Luisa
Lleida,Alquiler,164,771292,Joaquín
Lleida,Venta,150,1267950,Jesús
Lleida,Alquiler,261,2598516,Carmen
Lleida,Alquiler,84,412272,Luisa
Lleida,Venta,47,313537,Joaquín
Lleida,Venta,224,1901536,Joaquín
Lleida,Venta,180,984780,Joaquín
Lleida,Venta,135,973890,Joaquín
Lleida,Venta,211,958151,Carmen
Lleida,Venta,244,1386164,María
Lleida,Alquiler,166,971100,Luisa
Lleida,Venta,143,1258972,Luisa
Lleida,Alquiler,121,652190,Luisa
Lleida,Venta,62,433008,Carmen
Lleida,Alquiler,94,559206,Joaquín
Lleida,Alquiler,48,224304,Luisa
Lleida,Venta,134,1024698,Jesús
Lleida,Alquiler,69,464577,Joaquín
Lleida,Alquiler,132,580800,Joaquín
Lleida,Venta,270,2364390,Luisa
Lleida,Venta,239,1264310,Carmen
Lleida,Alquiler,144,1211184,María
Lleida,Venta,106,594130,Carmen
Lleida,Venta,290,1853390,Luisa
Lleida,Venta,92,783380,María
Lleida,Alquiler,104,831896,Pedro
Lleida,Alquiler,86,360942,Jesús
Lleida,Alquiler,275,1819950,Luisa
Lleida,Alquiler,195,1790490,Carmen
Lleida,Alquiler,257,2203004,Pedro
Lleida,Alquiler,176,1214576,Luisa
Lleida,Alquiler,149,1099024,Luisa
Lleida,Alquiler,277,2268076,María
Lleida,Venta,271,2303500,Luisa
Lleida,Alquiler,125,822625,Joaquín
Lleida,Venta,129,818505,Carmen
Lleida,Alquiler,80,786320,Jesús
Lleida,Alquiler,194,1466058,Carmen
Lleida,Venta,83,825518,Joaquín
Lleida,Alquiler,86,419250,María
Lleida,Venta,234,1305720,Luisa
Lleida,Venta,270,1097010,María
Lleida,Venta,246,1044762,María
Lleida,Venta,122,1107028,Pedro
Lleida,Venta,224,1705760,Jesús
Lleida,Venta,126,1199394,Carmen
Lleida,Alquiler,264,1344024,María
Lleida,Alquiler,217,1363411,Carmen
Lleida,Venta,209,1637515,Jesús
Lleida,Alquiler,201,1342278,Luisa
Lleida,Alquiler,267,2211294,Joaquín
Lleida,Alquiler,275,1443750,
Lleida,Venta,239,2235367,María
Lleida,Venta,219,958563,
Lleida,Alquiler,83,797215,Pedro
Lleida,Venta,134,1083256,Jesús
Lleida,Alquiler,245,2030805,María
Lleida,Alquiler,63,413910,María
Lleida,Venta,212,1736068,Joaquín
Lleida,Venta,298,2458798,Jesús
Lleida,Alquiler,155,912330,Pedro
Lleida,Venta,99,819621,Pedro
Lleida,Venta,214,1504420,Joaquín
Lleida,Venta,209,1844425,Pedro
Lleida,Alquiler,234,1182636,Carmen
Lleida,Alquiler,103,517472,
Lleida,Alquiler,83,503478,Joaquín
Lleida,Venta,138,668748,Carmen
Lleida,Venta,58,409712,
Lleida,Alquiler,290,2702220,Carmen
Lleida,Alquiler,83,375243,Pedro
Lleida,Alquiler,252,1889748,Luisa
Lleida,Alquiler,273,2682225,Pedro
Lleida,Venta,265,1632930,María
Lleida,Venta,259,1626779,Joaquín
Lleida,Alquiler,157,1095860,Luisa
Lleida,Alquiler,163,1550456,Carmen
Lleida,Alquiler,195,1899690,Jesús
Lleida,Alquiler,159,931104,María
Lleida,Alquiler,282,1170300,Jesús
Lleida,Venta,84,769860,Joaquín
Lleida,Alquiler,102,688092,Joaquín
Lleida,Alquiler,291,2874207,Jesús
Lleida,Alquiler,108,1002348,
Lleida,Alquiler,237,1732233,Pedro
Lleida,Venta,291,1776555,
Lleida,Venta,186,1527618,Joaquín
Lleida,Alquiler,275,2171950,
Lleida,Alquiler,274,1233000,Joaquín
Lleida,Venta,232,1341656,Joaquín
Lleida,Venta,118,891136,
Lleida,Venta,179,954249,Carmen
Lleida,Venta,164,1165548,
Lleida,Alquiler,118,853494,
Lleida,Venta,99,925749,
Lleida,Venta,214,1114940,
Lleida,Venta,269,1971501,
Lleida,Venta,233,2200452,
Lleida,Alquiler,171,1176480,
Lleida,Alquiler,151,1110907,
Lleida,Venta,224,2076480,
Lleida,Alquiler,122,770552,
Lleida,Venta,188,918380,
Lleida,Alquiler,142,680606,Pedro
Lleida,Venta,202,874256,
Lleida,Alquiler,109,591325,Joaquín
Lleida,Venta,183,920490,
Lleida,Venta,225,1239525,
Lleida,Venta,151,1057755,
Lleida,Alquiler,224,1956864,Carmen
Lleida,Alquiler,109,535408,Joaquín
Lleida,Venta,239,2297985,
Lleida,Venta,182,1298752,
Lleida,Venta,211,1326135,
Lleida,Venta,257,2121278,Joaquín
Lleida,Venta,138,1317210,María
Lleida,Venta,98,458346,
Lleida,Alquiler,41,185976,Luisa
Lleida,Venta,135,1345545,Luisa
Lleida,Alquiler,133,976885,Pedro
Lleida,Venta,115,1094225,
Lleida,Venta,145,949025,Joaquín
Lleida,Venta,217,1770503,Pedro
Lleida,Alquiler,280,2327080,
Lleida,Venta,275,2096050,
Lleida,Venta,64,594880,Luisa
Lleida,Alquiler,117,762606,
Lleida,Alquiler,83,695789,Carmen
Lleida,Alquiler,250,1480500,Luisa
Lleida,Venta,122,817156,
Lleida,Venta,239,1215554,Luisa
Lleida,Alquiler,128,1162624,
Lleida,Venta,275,2669425,Jesús
Lleida,Venta,236,1300360,
Lleida,Alquiler,137,931463,
Lleida,Venta,293,1956068,Jesús
Lleida,Alquiler,111,529137,
Lleida,Alquiler,245,1240925,
Lleida,Alquiler,63,416997,Joaquín
Lleida,Alquiler,47,400816,Carmen
Lleida,Alquiler,123,963459,
Lleida,Alquiler,141,763938,Jesús
Lleida,Alquiler,43,294722,Jesús
Lleida,Venta,130,1186380,Jesús
Lleida,Venta,292,1427004,
Lleida,Alquiler,208,1269008,
Lleida,Venta,248,1270256,
Lleida,Venta,246,2345364,
Lleida,Venta,267,1516293,Joaquín
Lleida,Venta,165,1355805,
Lleida,Alquiler,295,1767345,Jesús
Lleida,Alquiler,285,2565285,
Lleida,Alquiler,195,1414140,
Lleida,Alquiler,223,1071515,Luisa
Lleida,Alquiler,132,936672,
Lleida,Alquiler,186,1464192,
Lleida,Alquiler,173,934200,
Lleida,Alquiler,234,979056,Jesús
Lleida,Alquiler,169,720278,
Lleida,Alquiler,128,669056,Joaquín
Lleida,Alquiler,282,1234032,Joaquín
Lleida,Venta,218,2102174,
Lleida,Venta,265,1820285,
Lleida,Venta,49,327271,
Lleida,Venta,153,1095786,
Lleida,Venta,180,1467360,
Lleida,Alquiler,253,1239700,
Lleida,Venta,86,707350,
Lleida,Alquiler,192,1169088,
Lleida,Alquiler,145,684110,
Lleida,Venta,136,1323280,
Lleida,Alquiler,96,450336,
Lleida,Alquiler,236,2133204,Pedro
Lleida,Alquiler,112,774144,
Lleida,Alquiler,119,888335,
