Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Oficina,199,2004-03-21,Venta,Lleida,177,842343,2005-03-10,María
Parking,200,2004-03-22,Venta,Tarragona,281,2108343,2004-09-26,Pedro
Parking,201,2004-03-22,Venta,Girona,247,1050985,2004-11-09,Pedro
Local,203,2004-03-22,Alquiler,Girona,169,902798,2004-07-16,Luisa
Local,204,2004-03-23,Alquiler,Barcelona,106,692180,2004-11-09,Luisa
Local,205,2004-03-23,Venta,Girona,274,2002392,2004-12-04,Luisa
Piso,206,2004-03-23,Alquiler,Lleida,250,2253500,2005-02-21,Joaquín
Piso,207,2004-03-23,Alquiler,Lleida,134,1338124,2004-08-19,Luisa
Casa,208,2004-03-23,Venta,Lleida,156,1369680,2004-09-27,Pedro
Parking,209,2004-03-24,Venta,Lleida,167,1643948,2004-09-21,María
Oficina,210,2004-03-24,Alquiler,Lleida,206,1297594,2005-03-03,Carmen
Parking,211,2004-03-25,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
Suelo,213,2004-03-26,Alquiler,Lleida,223,1932518,2005-01-19,Pedro
Industrial,214,2004-03-26,Venta,Girona,163,1385011,2004-08-26,Carmen
Parking,215,2004-03-27,Alquiler,Girona,214,1219158,2004-07-13,Pedro
Industrial,216,2004-03-27,Venta,Tarragona,263,1494892,2005-02-02,María
Industrial,217,2004-03-28,Alquiler,Lleida,216,1398600,2004-11-03,Luisa
Industrial,220,2004-03-30,Alquiler,Lleida,209,1042283,2004-09-17,Jesús
Oficina,224,2004-03-31,Venta,Tarragona,192,1032000,2004-08-21,Luisa
Parking,225,2004-04-01,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
Local,226,2004-04-01,Alquiler,Tarragona,182,1133132,2004-08-29,Joaquín
Casa,227,2004-04-01,Venta,Lleida,179,1670965,2004-09-09,Luisa
Local,228,2004-04-01,Venta,Girona,211,2010619,2004-11-12,Jesús
Oficina,229,2004-04-01,Venta,Tarragona,117,739206,2005-01-25,Carmen
Oficina,230,2004-04-02,Alquiler,Tarragona,186,1382166,2005-03-01,Pedro
Local,231,2004-04-03,Alquiler,Barcelona,143,665951,2005-02-18,Pedro
Oficina,232,2004-04-03,Venta,Tarragona,212,1479548,2004-11-03,María
Local,233,2004-04-03,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
Suelo,234,2004-04-03,Venta,Girona,230,1722700,2005-03-26,Carmen
Suelo,235,2004-04-03,Venta,Lleida,126,848358,2004-11-02,Pedro
Industrial,236,2004-04-03,Venta,Girona,226,2104286,2004-08-26,Carmen
Piso,237,2004-04-05,Venta,Tarragona,262,1748850,2004-10-07,Pedro
Casa,238,2004-04-05,Alquiler,Barcelona,170,995520,2005-02-01,Jesús
Piso,239,2004-04-05,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
Parking,240,2004-04-06,Venta,Barcelona,164,1298716,2004-12-03,Luisa
Local,241,2004-04-06,Venta,Lleida,260,2038660,2004-07-26,Carmen
Local,243,2004-04-07,Venta,Lleida,298,1870546,2005-03-31,Luisa
Local,244,2004-04-07,Alquiler,Tarragona,284,1431076,2004-12-22,María
Casa,245,2004-04-08,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
Local,246,2004-04-09,Venta,Girona,287,1936102,2005-04-08,Jesús
Industrial,247,2004-04-09,Alquiler,Barcelona,159,1582527,2004-12-09,Jesús
Suelo,248,2004-04-09,Alquiler,Girona,136,873120,2004-12-26,Pedro
Industrial,249,2004-04-09,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
Piso,250,2004-04-09,Alquiler,Lleida,175,747075,2005-02-01,Pedro
Suelo,251,2004-04-09,Venta,Lleida,124,1130632,2005-01-22,Pedro
Parking,252,2004-04-09,Alquiler,Lleida,168,1622040,2004-10-15,María
Parking,253,2004-04-10,Venta,Tarragona,106,567206,2004-08-08,María
Industrial,256,2004-04-10,Venta,Girona,238,1620304,2004-10-05,Carmen
Suelo,257,2004-04-11,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
Suelo,258,2004-04-11,Alquiler,Barcelona,242,1099648,2005-02-13,María
Parking,259,2004-04-11,Venta,Tarragona,138,1183212,2005-02-26,Luisa
Piso,260,2004-04-12,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
Casa,261,2004-04-12,Alquiler,Lleida,201,1107108,2005-04-07,Joaquín
Casa,262,2004-04-12,Alquiler,Barcelona,181,1449629,2004-09-14,Luisa
Oficina,263,2004-04-13,Alquiler,Barcelona,244,1006988,2004-08-06,María
Parking,264,2004-04-14,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
Parking,265,2004-04-14,Venta,Barcelona,105,927255,2004-11-21,Luisa
Parking,266,2004-04-14,Alquiler,Tarragona,216,1125792,2004-09-16,Jesús
Casa,267,2004-04-14,Venta,Girona,204,1291116,2004-09-27,Carmen
Industrial,268,2004-04-15,Alquiler,Girona,150,968250,2005-02-15,María
Parking,270,2004-04-15,Alquiler,Tarragona,223,1342906,2004-10-31,Joaquín
Local,271,2004-04-15,Alquiler,Lleida,237,1093281,2005-01-02,Jesús
Suelo,272,2004-04-15,Venta,Lleida,270,2409210,2004-09-03,Carmen
Piso,273,2004-04-15,Alquiler,Lleida,120,722880,2005-02-14,Joaquín
Piso,274,2004-04-15,Alquiler,Lleida,113,1102880,2005-03-17,Jesús
Local,275,2004-04-16,Alquiler,Girona,193,1079449,2004-11-20,Pedro
Oficina,276,2004-04-17,Alquiler,Girona,110,1039500,2004-11-17,Pedro
Parking,277,2004-04-17,Venta,Barcelona,209,2038586,2005-01-06,Jesús
Suelo,278,2004-04-17,Alquiler,Girona,125,853750,2004-08-25,Carmen
Suelo,279,2004-04-18,Venta,Girona,244,1414956,2005-02-26,María
Oficina,280,2004-04-18,Venta,Barcelona,154,881804,2004-08-25,Pedro
Oficina,281,2004-04-18,Venta,Girona,258,1081278,2005-04-13,Carmen
Casa,282,2004-04-18,Venta,Girona,285,2534505,2004-12-28,Jesús
Oficina,283,2004-04-18,Alquiler,Tarragona,137,1336298,2004-11-27,Pedro
Suelo,284,2004-04-19,Alquiler,Girona,262,2404898,2004-10-20,Luisa
Industrial,285,2004-04-19,Alquiler,Tarragona,143,712712,2005-01-10,Jesús
Industrial,287,2004-04-19,Alquiler,Barcelona,225,1360800,2004-07-22,Jesús
Casa,288,2004-04-19,Alquiler,Lleida,177,924294,2005-01-19,Luisa
Suelo,289,2004-04-20,Venta,Lleida,163,895359,2005-02-17,Pedro
Oficina,290,2004-04-20,Alquiler,Girona,227,1437818,2005-03-27,Jesús
Casa,291,2004-04-21,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
Oficina,295,2004-04-22,Venta,Girona,133,786695,2004-11-21,Luisa
Parking,296,2004-04-22,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
Suelo,297,2004-04-23,Alquiler,Girona,288,2699136,2004-07-28,Pedro
Industrial,298,2004-04-23,Venta,Barcelona,106,600596,2004-11-23,Luisa
Casa,301,2004-04-24,Alquiler,Tarragona,178,1458176,2005-02-12,Carmen
Industrial,302,2004-04-24,Alquiler,Girona,211,1171894,2005-03-22,Pedro
Oficina,303,2004-04-25,Venta,Girona,209,1728221,2004-08-30,Carmen
Casa,304,2004-04-26,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
Oficina,305,2004-04-27,Venta,Girona,249,1150380,2004-11-18,Joaquín
Piso,306,2004-04-27,Venta,Lleida,142,1055912,2004-09-28,Jesús
Industrial,307,2004-04-27,Venta,Lleida,196,1645616,2005-04-14,Carmen
Suelo,308,2004-04-28,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
Piso,309,2004-04-28,Alquiler,Lleida,237,1763517,2004-09-06,Luisa
Industrial,310,2004-04-28,Venta,Lleida,121,792792,2004-09-23,Pedro
Industrial,312,2004-04-29,Venta,Girona,189,1579284,2005-01-07,Luisa
Suelo,314,2004-04-30,Alquiler,Tarragona,230,1386900,2005-03-21,Joaquín
Casa,315,2004-05-01,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
Industrial,316,2004-05-02,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
Parking,317,2004-05-02,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
Piso,319,2004-05-02,Venta,Tarragona,123,961368,2004-09-04,Luisa
Industrial,320,2004-05-02,Alquiler,Girona,277,2456159,2004-08-04,María
Industrial,321,2004-05-03,Alquiler,Girona,190,977740,2004-08-12,Pedro
Parking,323,2004-05-03,Venta,Barcelona,237,1592166,2004-10-15,María
Suelo,324,2004-05-04,Alquiler,Barcelona,155,876060,2004-12-31,Carmen
Industrial,326,2004-05-04,Alquiler,Barcelona,179,1227224,2004-10-08,Luisa
Suelo,327,2004-05-04,Venta,Tarragona,180,1022040,2005-03-28,Jesús
Suelo,328,2004-05-04,Venta,Barcelona,273,1369368,2005-04-17,Jesús
Industrial,329,2004-05-04,Venta,Lleida,285,1922325,2004-11-11,María
Parking,330,2004-05-05,Alquiler,Girona,125,1189250,2004-10-26,Pedro
Parking,331,2004-05-05,Alquiler,Barcelona,205,990355,2004-12-08,Luisa
Local,332,2004-05-06,Alquiler,Girona,138,877680,2005-03-31,Luisa
Piso,333,2004-05-06,Venta,Barcelona,110,803000,2004-08-25,Jesús
Industrial,334,2004-05-07,Alquiler,Tarragona,242,2110966,2005-01-22,Pedro
Piso,335,2004-05-07,Venta,Lleida,148,634920,2005-04-27,Joaquín
Local,336,2004-05-07,Alquiler,Tarragona,227,1394461,2005-01-28,María
Oficina,337,2004-05-08,Venta,Girona,102,413610,2004-09-15,Pedro
Casa,341,2004-05-10,Venta,Tarragona,229,1990697,2004-11-02,Pedro
Local,342,2004-05-10,Alquiler,Lleida,259,1992228,2004-12-21,Pedro
Parking,343,2004-05-10,Venta,Barcelona,175,1178100,2004-11-12,Luisa
Casa,344,2004-05-10,Venta,Barcelona,146,1083466,2004-09-19,Jesús
Industrial,345,2004-05-11,Alquiler,Tarragona,131,1263495,2005-01-01,Jesús
Local,346,2004-05-11,Venta,Tarragona,202,1320676,2004-12-23,Pedro
Industrial,347,2004-05-11,Venta,Barcelona,173,851852,2004-09-18,Carmen
Oficina,348,2004-05-11,Alquiler,Girona,187,1560889,2005-03-26,Joaquín
Parking,349,2004-05-12,Venta,Tarragona,234,1398852,2004-11-01,María
Oficina,350,2004-05-13,Venta,Girona,103,680830,2004-09-21,María
Casa,352,2004-05-14,Venta,Tarragona,241,2060550,2004-10-10,Luisa
Piso,353,2004-05-14,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
Piso,354,2004-05-14,Venta,Girona,122,885476,2005-03-30,Carmen
Oficina,355,2004-05-14,Alquiler,Tarragona,209,1181686,2004-10-15,Carmen
Parking,356,2004-05-14,Alquiler,Lleida,154,830830,2005-02-03,Luisa
Suelo,357,2004-05-15,Venta,Girona,196,1707944,2004-08-19,Pedro
Piso,358,2004-05-15,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
Parking,359,2004-05-15,Venta,Lleida,130,1176630,2005-03-18,Jesús
Local,360,2004-05-16,Venta,Barcelona,156,896220,2005-03-19,Luisa
Local,361,2004-05-17,Venta,Lleida,291,1505925,2005-03-10,Luisa
Casa,362,2004-05-18,Venta,Lleida,141,732495,2004-12-02,Luisa
Local,364,2004-05-18,Venta,Lleida,267,1257036,2004-12-26,Luisa
Local,365,2004-05-18,Alquiler,Tarragona,137,673355,2004-10-16,María
Oficina,366,2004-05-18,Venta,Lleida,137,961192,2005-05-10,Jesús
Casa,369,2004-05-19,Alquiler,Barcelona,149,1238339,2004-12-27,Luisa
Suelo,370,2004-05-19,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
Oficina,371,2004-05-20,Venta,Barcelona,230,1109980,2004-12-08,Luisa
Parking,372,2004-05-20,Alquiler,Lleida,163,1317529,2005-05-03,Luisa
Suelo,373,2004-05-21,Alquiler,Barcelona,131,822811,2005-05-21,Pedro
Piso,374,2004-05-21,Alquiler,Tarragona,167,895287,2004-11-13,Jesús
Local,375,2004-05-22,Venta,Tarragona,230,1398630,2005-04-10,María
Industrial,376,2004-05-23,Alquiler,Lleida,247,1210053,2004-09-04,Jesús
Oficina,377,2004-05-24,Alquiler,Barcelona,105,525210,2005-04-16,Pedro
Suelo,378,2004-05-24,Alquiler,Girona,280,1680000,2004-09-17,María
Piso,379,2004-05-24,Venta,Girona,108,812808,2004-10-13,Jesús
Local,380,2004-05-25,Venta,Lleida,269,2586704,2005-03-27,Carmen
Casa,381,2004-05-25,Venta,Girona,123,775884,2004-10-21,Joaquín
Suelo,382,2004-05-26,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
Industrial,383,2004-05-26,Alquiler,Lleida,298,1331166,2004-12-28,Joaquín
Parking,384,2004-05-26,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
Parking,385,2004-05-26,Venta,Barcelona,197,1746405,2005-03-20,Luisa
Parking,386,2004-05-26,Alquiler,Girona,184,830760,2004-09-13,Pedro
Oficina,387,2004-05-27,Venta,Barcelona,119,486472,2004-09-04,Joaquín
Parking,388,2004-05-28,Alquiler,Girona,137,835152,2005-02-13,Jesús
Oficina,389,2004-05-29,Alquiler,Tarragona,196,882784,2005-02-02,Luisa
Suelo,391,2004-05-30,Venta,Girona,300,1483500,2005-03-29,Carmen
Piso,392,2004-05-30,Alquiler,Barcelona,202,1560450,2005-02-06,Jesús
Piso,393,2004-05-31,Venta,Girona,225,1164375,2005-03-04,Pedro
Local,394,2004-05-31,Alquiler,Barcelona,203,946792,2005-04-17,María
Casa,395,2004-05-31,Alquiler,Girona,192,1159296,2005-05-23,Carmen
Parking,396,2004-05-31,Alquiler,Lleida,296,1602544,2004-09-07,Jesús
Parking,397,2004-06-01,Venta,Barcelona,177,933321,2005-05-10,Joaquín
Parking,400,2004-06-01,Venta,Tarragona,208,1225120,2005-01-22,Carmen
Piso,401,2004-06-02,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
Industrial,402,2004-06-02,Alquiler,Lleida,278,2188138,2005-01-21,María
Local,405,2004-06-03,Venta,Tarragona,224,1804992,2005-01-20,Jesús
Oficina,406,2004-06-03,Venta,Barcelona,207,1883700,2005-02-23,Carmen
Industrial,407,2004-06-03,Venta,Barcelona,162,1383480,2004-12-16,María
Parking,409,2004-06-04,Venta,Girona,293,1750089,2005-04-05,Luisa
Local,412,2004-06-05,Venta,Girona,148,1268952,2004-10-14,María
Piso,413,2004-06-05,Alquiler,Tarragona,189,1527498,2005-05-14,Luisa
Oficina,416,2004-06-07,Alquiler,Lleida,201,1287807,2004-09-11,Carmen
Suelo,417,2004-06-07,Venta,Barcelona,254,1381506,2005-04-14,Luisa
Industrial,418,2004-06-07,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
Parking,419,2004-06-07,Venta,Girona,174,952302,2004-12-06,Luisa
Piso,420,2004-06-08,Alquiler,Lleida,114,1019160,2005-05-29,Carmen
Suelo,421,2004-06-09,Venta,Barcelona,135,1209735,2005-05-05,Pedro
Piso,422,2004-06-09,Alquiler,Barcelona,126,637308,2004-11-09,Jesús
Local,423,2004-06-09,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
Parking,424,2004-06-09,Venta,Barcelona,261,1945755,2004-11-06,Jesús
Casa,425,2004-06-09,Venta,Girona,173,1117753,2004-12-11,María
Oficina,426,2004-06-09,Alquiler,Lleida,207,1042659,2004-10-12,Jesús
Parking,429,2004-06-11,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
Oficina,430,2004-06-11,Venta,Tarragona,249,1388175,2004-10-29,Luisa
Suelo,431,2004-06-11,Alquiler,Tarragona,153,1116441,2004-12-19,Jesús
Oficina,432,2004-06-12,Alquiler,Lleida,205,1980300,2005-01-01,Joaquín
Suelo,433,2004-06-13,Venta,Tarragona,144,852480,2005-06-04,Carmen
Local,434,2004-06-13,Alquiler,Tarragona,246,1898628,2004-12-15,Joaquín
Industrial,435,2004-06-13,Alquiler,Girona,233,1541528,2005-02-03,Jesús
Suelo,436,2004-06-13,Venta,Tarragona,105,783195,2004-11-20,Carmen
