Vendedor,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta
Carmen,50,2004-01-20,Local,Alquiler,Tarragona,235,957625,2004-11-13
María,52,2004-01-22,Local,Alquiler,Lleida,206,1605564,2004-09-26
Carmen,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17
Carmen,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09
María,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21
Joaquín,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19
Jesús,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28
Carmen,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12
Joaquín,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23
Luisa,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06
Luisa,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26
Pedro,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24
Jesús,67,2004-01-27,Industrial,Alquiler,Barcelona,219,948927,2004-10-15
María,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09
María,70,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12
Carmen,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01
Carmen,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15
Joaquín,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22
Pedro,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28
Pedro,77,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25
Carmen,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27
Carmen,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05
Pedro,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17
Pedro,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14
Joaquín,85,2004-02-02,Local,Alquiler,Barcelona,127,925322,2004-06-03
Jesús,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08
Pedro,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24
Joaquín,91,2004-02-04,Industrial,Alquiler,Barcelona,123,723609,2004-12-16
Joaquín,93,2004-02-05,Industrial,Alquiler,Tarragona,132,922020,2004-10-23
Luisa,94,2004-02-06,Industrial,Alquiler,Barcelona,177,965358,2004-06-08
Jesús,96,2004-02-07,Industrial,Alquiler,Tarragona,103,728931,2005-02-05
Carmen,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01
María,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22
Jesús,100,2004-02-08,Local,Alquiler,Tarragona,125,531375,2004-06-23
María,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27
María,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19
Luisa,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14
Luisa,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02
Pedro,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26
Jesús,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13
Joaquín,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20
Pedro,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09
Luisa,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20
Joaquín,111,2004-02-13,Suelo,Alquiler,Tarragona,162,954666,2004-11-25
Pedro,112,2004-02-13,Local,Alquiler,Lleida,160,1064800,2004-09-22
Joaquín,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11
Jesús,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04
Joaquín,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26
Luisa,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10
Jesús,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13
Jesús,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06
Pedro,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05
Pedro,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30
Joaquín,124,2004-02-18,Suelo,Alquiler,Tarragona,212,926228,2004-09-05
Carmen,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25
María,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31
Jesús,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29
Luisa,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04
Carmen,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08
Luisa,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23
Jesús,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04
Joaquín,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20
Joaquín,136,2004-02-23,Oficina,Alquiler,Lleida,105,624435,2004-06-24
Pedro,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19
María,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02
Pedro,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23
María,143,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28
Pedro,144,2004-02-28,Parking,Alquiler,Barcelona,121,782870,2004-11-19
Luisa,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20
María,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30
Luisa,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12
Jesús,150,2004-03-01,Casa,Alquiler,Lleida,212,1800516,2004-12-19
Luisa,151,2004-03-01,Oficina,Alquiler,Lleida,128,1259904,2004-10-02
María,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13
Pedro,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02
Pedro,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01
María,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02
Luisa,158,2004-03-03,Casa,Alquiler,Lleida,100,731700,2004-10-10
Pedro,159,2004-03-04,Local,Venta,Lleida,106,563178,2004-08-01
María,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23
Jesús,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29
Jesús,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16
Carmen,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23
Carmen,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13
Luisa,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11
Luisa,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29
Luisa,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14
Joaquín,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15
Jesús,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14
Joaquín,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13
María,172,2004-03-08,Piso,Alquiler,Tarragona,108,558252,2004-10-19
Joaquín,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08
Joaquín,174,2004-03-09,Piso,Alquiler,Lleida,143,1131416,2004-08-25
Jesús,176,2004-03-10,Industrial,Alquiler,Lleida,193,1658835,2004-08-30
Jesús,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01
María,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26
Jesús,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27
Jesús,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21
Joaquín,182,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25
Carmen,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02
Pedro,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24
María,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27
Jesús,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25
Pedro,194,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14
Carmen,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10
Pedro,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14
María,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10
Pedro,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26
Pedro,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09
Luisa,203,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16
Luisa,204,2004-03-23,Local,Alquiler,Barcelona,106,692180,2004-11-09
Luisa,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04
Joaquín,206,2004-03-23,Piso,Alquiler,Lleida,250,2253500,2005-02-21
Luisa,207,2004-03-23,Piso,Alquiler,Lleida,134,1338124,2004-08-19
Pedro,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27
María,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21
Carmen,210,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03
Carmen,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11
Pedro,213,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19
Carmen,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26
Pedro,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13
María,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02
Luisa,217,2004-03-28,Industrial,Alquiler,Lleida,216,1398600,2004-11-03
Jesús,220,2004-03-30,Industrial,Alquiler,Lleida,209,1042283,2004-09-17
Luisa,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21
Jesús,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15
Joaquín,226,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29
Luisa,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09
Jesús,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12
Carmen,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25
Pedro,230,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01
Pedro,231,2004-04-03,Local,Alquiler,Barcelona,143,665951,2005-02-18
María,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03
Joaquín,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05
Carmen,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26
Pedro,235,2004-04-03,Suelo,Venta,Lleida,126,848358,2004-11-02
Carmen,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26
Pedro,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07
Jesús,238,2004-04-05,Casa,Alquiler,Barcelona,170,995520,2005-02-01
Pedro,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02
Luisa,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03
Carmen,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26
Luisa,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31
María,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22
Joaquín,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07
Jesús,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08
Jesús,247,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09
Pedro,248,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26
Joaquín,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13
Pedro,250,2004-04-09,Piso,Alquiler,Lleida,175,747075,2005-02-01
Pedro,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22
María,252,2004-04-09,Parking,Alquiler,Lleida,168,1622040,2004-10-15
María,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08
Carmen,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05
Carmen,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09
María,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13
Luisa,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26
Luisa,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09
Joaquín,261,2004-04-12,Casa,Alquiler,Lleida,201,1107108,2005-04-07
Luisa,262,2004-04-12,Casa,Alquiler,Barcelona,181,1449629,2004-09-14
María,263,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06
Jesús,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02
Luisa,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21
Jesús,266,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16
Carmen,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27
María,268,2004-04-15,Industrial,Alquiler,Girona,150,968250,2005-02-15
Joaquín,270,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31
Jesús,271,2004-04-15,Local,Alquiler,Lleida,237,1093281,2005-01-02
Carmen,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03
Joaquín,273,2004-04-15,Piso,Alquiler,Lleida,120,722880,2005-02-14
Jesús,274,2004-04-15,Piso,Alquiler,Lleida,113,1102880,2005-03-17
Pedro,275,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20
Pedro,276,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17
Jesús,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06
Carmen,278,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25
María,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26
Pedro,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25
Carmen,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13
Jesús,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28
Pedro,283,2004-04-18,Oficina,Alquiler,Tarragona,137,1336298,2004-11-27
Luisa,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20
Jesús,285,2004-04-19,Industrial,Alquiler,Tarragona,143,712712,2005-01-10
Jesús,287,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22
Luisa,288,2004-04-19,Casa,Alquiler,Lleida,177,924294,2005-01-19
Pedro,289,2004-04-20,Suelo,Venta,Lleida,163,895359,2005-02-17
Jesús,290,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27
Pedro,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11
Luisa,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21
Pedro,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28
Pedro,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28
Luisa,298,2004-04-23,Industrial,Venta,Barcelona,106,600596,2004-11-23
Carmen,301,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12
Pedro,302,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22
Carmen,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30
Pedro,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16
Joaquín,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18
Jesús,306,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28
Carmen,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14
Carmen,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16
Luisa,309,2004-04-28,Piso,Alquiler,Lleida,237,1763517,2004-09-06
Pedro,310,2004-04-28,Industrial,Venta,Lleida,121,792792,2004-09-23
Luisa,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07
Joaquín,314,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21
Joaquín,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14
Carmen,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07
Jesús,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26
Luisa,319,2004-05-02,Piso,Venta,Tarragona,123,961368,2004-09-04
María,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04
Pedro,321,2004-05-03,Industrial,Alquiler,Girona,190,977740,2004-08-12
María,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15
Carmen,324,2004-05-04,Suelo,Alquiler,Barcelona,155,876060,2004-12-31
Luisa,326,2004-05-04,Industrial,Alquiler,Barcelona,179,1227224,2004-10-08
Jesús,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28
Jesús,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17
María,329,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11
Pedro,330,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26
Luisa,331,2004-05-05,Parking,Alquiler,Barcelona,205,990355,2004-12-08
Luisa,332,2004-05-06,Local,Alquiler,Girona,138,877680,2005-03-31
Jesús,333,2004-05-06,Piso,Venta,Barcelona,110,803000,2004-08-25
Pedro,334,2004-05-07,Industrial,Alquiler,Tarragona,242,2110966,2005-01-22
Joaquín,335,2004-05-07,Piso,Venta,Lleida,148,634920,2005-04-27
María,336,2004-05-07,Local,Alquiler,Tarragona,227,1394461,2005-01-28
Pedro,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15
Pedro,341,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02
Pedro,342,2004-05-10,Local,Alquiler,Lleida,259,1992228,2004-12-21
Luisa,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12
Jesús,344,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19
Jesús,345,2004-05-11,Industrial,Alquiler,Tarragona,131,1263495,2005-01-01
Pedro,346,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23
Carmen,347,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18
Joaquín,348,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26
María,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01
María,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21
Luisa,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10
Carmen,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14
Carmen,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30
Carmen,355,2004-05-14,Oficina,Alquiler,Tarragona,209,1181686,2004-10-15
Luisa,356,2004-05-14,Parking,Alquiler,Lleida,154,830830,2005-02-03
Pedro,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19
Joaquín,358,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04
Jesús,359,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18
Luisa,360,2004-05-16,Local,Venta,Barcelona,156,896220,2005-03-19
Luisa,361,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10
Luisa,362,2004-05-18,Casa,Venta,Lleida,141,732495,2004-12-02
Luisa,364,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26
María,365,2004-05-18,Local,Alquiler,Tarragona,137,673355,2004-10-16
Jesús,366,2004-05-18,Oficina,Venta,Lleida,137,961192,2005-05-10
Luisa,369,2004-05-19,Casa,Alquiler,Barcelona,149,1238339,2004-12-27
Jesús,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14
Luisa,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08
Luisa,372,2004-05-20,Parking,Alquiler,Lleida,163,1317529,2005-05-03
Pedro,373,2004-05-21,Suelo,Alquiler,Barcelona,131,822811,2005-05-21
Jesús,374,2004-05-21,Piso,Alquiler,Tarragona,167,895287,2004-11-13
María,375,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10
Jesús,376,2004-05-23,Industrial,Alquiler,Lleida,247,1210053,2004-09-04
Pedro,377,2004-05-24,Oficina,Alquiler,Barcelona,105,525210,2005-04-16
María,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17
Jesús,379,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13
Carmen,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27
Joaquín,381,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21
Luisa,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24
Joaquín,383,2004-05-26,Industrial,Alquiler,Lleida,298,1331166,2004-12-28
Joaquín,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20
Luisa,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20
Pedro,386,2004-05-26,Parking,Alquiler,Girona,184,830760,2004-09-13
Joaquín,387,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04
Jesús,388,2004-05-28,Parking,Alquiler,Girona,137,835152,2005-02-13
Luisa,389,2004-05-29,Oficina,Alquiler,Tarragona,196,882784,2005-02-02
Carmen,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29
Jesús,392,2004-05-30,Piso,Alquiler,Barcelona,202,1560450,2005-02-06
Pedro,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04
María,394,2004-05-31,Local,Alquiler,Barcelona,203,946792,2005-04-17
Carmen,395,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23
Jesús,396,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07
Joaquín,397,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10
Carmen,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22
Pedro,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02
María,402,2004-06-02,Industrial,Alquiler,Lleida,278,2188138,2005-01-21
Jesús,405,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20
Carmen,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23
María,407,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16
Luisa,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05
María,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14
Luisa,413,2004-06-05,Piso,Alquiler,Tarragona,189,1527498,2005-05-14
Carmen,416,2004-06-07,Oficina,Alquiler,Lleida,201,1287807,2004-09-11
Luisa,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14
Joaquín,418,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26
Luisa,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06
Carmen,420,2004-06-08,Piso,Alquiler,Lleida,114,1019160,2005-05-29
Pedro,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05
Jesús,422,2004-06-09,Piso,Alquiler,Barcelona,126,637308,2004-11-09
Luisa,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16
Jesús,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06
María,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11
Jesús,426,2004-06-09,Oficina,Alquiler,Lleida,207,1042659,2004-10-12
Jesús,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02
Luisa,430,2004-06-11,Oficina,Venta,Tarragona,249,1388175,2004-10-29
Jesús,431,2004-06-11,Suelo,Alquiler,Tarragona,153,1116441,2004-12-19
Joaquín,432,2004-06-12,Oficina,Alquiler,Lleida,205,1980300,2005-01-01
Carmen,433,2004-06-13,Suelo,Venta,Tarragona,144,852480,2005-06-04
Joaquín,434,2004-06-13,Local,Alquiler,Tarragona,246,1898628,2004-12-15
Jesús,435,2004-06-13,Industrial,Alquiler,Girona,233,1541528,2005-02-03
