Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Casa,315,2004-05-01,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
Industrial,316,2004-05-02,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
Suelo,318,2004-05-02,Alquiler,Lleida,46,440772,2004-11-17,Jesús
Industrial,320,2004-05-02,Alquiler,Girona,277,2456159,2004-08-04,María
Suelo,322,2004-05-03,Venta,Barcelona,42,255906,2004-11-09,María
Piso,325,2004-05-04,Venta,Girona,60,332400,2004-08-30,Joaquín
Industrial,334,2004-05-07,Alquiler,Tarragona,242,2110966,2005-01-22,Pedro
Oficina,338,2004-05-08,Alquiler,Barcelona,41,361661,2005-01-28,Carmen
Suelo,339,2004-05-09,Alquiler,Girona,75,683175,2004-09-04,Joaquín
Suelo,340,2004-05-10,Venta,Lleida,99,783783,2004-12-01,Jesús
Piso,351,2004-05-13,Alquiler,Girona,75,418725,2005-04-24,Pedro
Casa,352,2004-05-14,Venta,Tarragona,241,2060550,2004-10-10,Luisa
Suelo,363,2004-05-18,Alquiler,Girona,68,378624,2005-03-30,Carmen
Industrial,367,2004-05-18,Alquiler,Lleida,76,501220,2005-03-24,Jesús
Casa,368,2004-05-18,Venta,Girona,80,354320,2004-10-18,Carmen
Local,380,2004-05-25,Venta,Lleida,269,2586704,2005-03-27,Carmen
Suelo,382,2004-05-26,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
Parking,390,2004-05-30,Alquiler,Tarragona,65,389350,2004-12-10,Luisa
Industrial,398,2004-06-01,Venta,Girona,72,427824,2004-11-08,Luisa
Industrial,399,2004-06-01,Venta,Tarragona,65,483860,2005-01-24,Pedro
Piso,401,2004-06-02,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
Industrial,402,2004-06-02,Alquiler,Lleida,278,2188138,2005-01-21,María
Piso,403,2004-06-02,Venta,Girona,90,770040,2005-04-26,Jesús
Casa,404,2004-06-03,Alquiler,Lleida,72,702576,2005-03-22,Carmen
Industrial,408,2004-06-04,Alquiler,Barcelona,74,729788,2005-01-22,Pedro
Piso,410,2004-06-04,Alquiler,Lleida,46,435252,2004-10-30,Luisa
Local,411,2004-06-05,Venta,Girona,90,742770,2004-11-27,Luisa
Suelo,414,2004-06-06,Venta,Lleida,56,425432,2004-09-23,Luisa
Parking,415,2004-06-06,Venta,Barcelona,46,386584,2004-12-17,Carmen
Industrial,418,2004-06-07,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
Piso,427,2004-06-10,Venta,Barcelona,81,583362,2005-05-04,Carmen
Piso,428,2004-06-10,Alquiler,Lleida,52,338364,2005-01-04,Carmen
Parking,429,2004-06-11,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
Oficina,439,2004-06-15,Alquiler,Girona,298,2524358,2004-10-23,Luisa
Local,445,2004-06-17,Alquiler,Girona,44,189156,2004-11-25,Jesús
Casa,446,2004-06-17,Alquiler,Tarragona,57,419178,2005-03-18,Jesús
Oficina,451,2004-06-18,Venta,Barcelona,54,406998,2005-04-25,Joaquín
Suelo,452,2004-06-19,Venta,Lleida,215,2097970,2004-11-13,Pedro
Oficina,454,2004-06-19,Alquiler,Barcelona,72,458568,2004-10-06,Luisa
Parking,455,2004-06-20,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
Piso,458,2004-06-20,Alquiler,Barcelona,71,587880,2004-10-03,Jesús
Oficina,460,2004-06-22,Alquiler,Barcelona,77,322322,2005-03-12,Joaquín
Casa,461,2004-06-22,Venta,Girona,90,412740,2004-09-26,María
Industrial,465,2004-06-24,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
Local,466,2004-06-24,Alquiler,Tarragona,44,242704,2004-10-03,Joaquín
Casa,469,2004-06-24,Alquiler,Barcelona,65,546780,2004-12-13,Pedro
Oficina,476,2004-06-26,Alquiler,Lleida,88,851488,2005-05-25,Carmen
Suelo,477,2004-06-28,Alquiler,Lleida,86,855442,2004-10-20,Jesús
Suelo,480,2004-06-28,Venta,Lleida,58,530816,2004-10-07,Luisa
Piso,486,2004-06-30,Venta,Girona,283,2199476,2005-06-04,Luisa
Casa,487,2004-06-30,Venta,Lleida,261,2475063,2005-01-21,Carmen
Casa,489,2004-07-01,Venta,Tarragona,60,253920,2005-01-30,Luisa
Piso,491,2004-07-02,Alquiler,Girona,62,358670,2005-06-04,Luisa
Oficina,495,2004-07-03,Venta,Barcelona,268,2578696,2005-06-28,Luisa
Casa,499,2004-07-04,Venta,Barcelona,61,531432,2005-05-22,Joaquín
Industrial,500,2004-07-04,Alquiler,Lleida,240,2238000,2005-05-06,Pedro
Piso,502,2004-07-05,Alquiler,Lleida,224,2087904,2005-01-29,Jesús
Piso,503,2004-07-05,Venta,Barcelona,72,647352,2005-06-07,María
Local,508,2004-07-05,Venta,Barcelona,271,2297538,2004-11-22,Jesús
Parking,509,2004-07-06,Venta,Tarragona,80,428240,2005-02-01,Pedro
Industrial,511,2004-07-06,Venta,Lleida,40,258560,2005-03-22,Jesús
Casa,514,2004-07-07,Venta,Tarragona,76,741228,2004-12-28,Luisa
Oficina,515,2004-07-08,Alquiler,Barcelona,47,262777,2004-12-22,Carmen
Suelo,520,2004-07-09,Alquiler,Lleida,42,279342,2005-01-24,María
Casa,528,2004-07-12,Alquiler,Lleida,231,2273040,2005-02-04,Joaquín
Local,530,2004-07-12,Venta,Lleida,86,446856,2005-06-12,María
Parking,533,2004-07-13,Venta,Tarragona,72,606024,2005-04-12,Carmen
Oficina,534,2004-07-14,Venta,Girona,62,410316,2004-12-27,Luisa
Industrial,538,2004-07-15,Alquiler,Girona,279,2161134,2005-03-09,María
Parking,540,2004-07-16,Alquiler,Tarragona,87,565587,2005-01-25,Joaquín
Casa,541,2004-07-16,Alquiler,Girona,62,251596,2005-06-20,Jesús
Oficina,544,2004-07-17,Venta,Tarragona,79,694331,2005-03-10,Carmen
Local,545,2004-07-18,Venta,Lleida,82,419348,2005-03-12,Jesús
Industrial,546,2004-07-20,Venta,Lleida,65,628095,2005-03-08,María
Parking,548,2004-07-20,Venta,Barcelona,286,2330042,2004-10-21,Carmen
Piso,551,2004-07-21,Alquiler,Girona,237,2215002,2004-10-31,Pedro
Suelo,556,2004-07-22,Venta,Lleida,57,567492,2005-02-08,Carmen
Parking,561,2004-07-25,Alquiler,Lleida,53,280741,2005-07-01,Jesús
Local,567,2004-07-26,Venta,Barcelona,98,469910,2005-01-08,Joaquín
Suelo,570,2004-07-27,Alquiler,Lleida,79,659808,2005-01-23,Pedro
Industrial,571,2004-07-27,Alquiler,Tarragona,44,322036,2004-12-20,Jesús
Local,574,2004-07-28,Alquiler,Lleida,58,251430,2005-05-30,Carmen
Casa,576,2004-07-29,Venta,Barcelona,54,435348,2005-02-20,Pedro
Industrial,582,2004-07-31,Venta,Lleida,290,2584480,2004-11-22,Jesús
Oficina,586,2004-08-01,Alquiler,Lleida,77,613921,2005-03-23,María
Local,588,2004-08-02,Alquiler,Tarragona,56,469168,2005-03-08,Pedro
Suelo,590,2004-08-03,Venta,Tarragona,95,627570,2005-03-16,Carmen
Suelo,591,2004-08-03,Alquiler,Girona,46,435712,2005-03-31,Luisa
Parking,596,2004-08-04,Venta,Lleida,62,358360,2005-07-23,Luisa
Casa,597,2004-08-05,Venta,Lleida,71,323760,2005-03-15,María
Casa,598,2004-08-06,Venta,Lleida,94,735456,2005-05-02,María
Local,599,2004-08-08,Alquiler,Lleida,76,738568,2005-03-22,Joaquín
Parking,606,2004-08-10,Alquiler,Lleida,45,360765,2005-03-05,María
Parking,607,2004-08-10,Venta,Barcelona,49,418019,2005-02-22,Pedro
Casa,611,2004-08-11,Venta,Barcelona,294,2658936,2005-06-21,Luisa
Casa,612,2004-08-11,Alquiler,Girona,92,879244,2005-05-06,Joaquín
Oficina,618,2004-08-13,Alquiler,Lleida,78,391560,2005-01-20,Pedro
Suelo,619,2004-08-13,Alquiler,Barcelona,93,705963,2005-03-30,Pedro
Suelo,620,2004-08-14,Alquiler,Barcelona,58,406290,2005-07-04,Carmen
Industrial,621,2004-08-14,Venta,Tarragona,223,2171128,2005-03-23,Carmen
Local,623,2004-08-15,Venta,Tarragona,72,577656,2005-07-30,María
Industrial,625,2004-08-15,Alquiler,Girona,222,2171826,2005-01-12,Carmen
Piso,626,2004-08-16,Alquiler,Tarragona,263,2061131,2005-07-28,Joaquín
Parking,627,2004-08-16,Alquiler,Lleida,86,494758,2005-03-04,María
Piso,634,2004-08-18,Alquiler,Tarragona,283,2576432,2005-05-13,María
Parking,637,2004-08-18,Alquiler,Barcelona,95,938030,2005-06-03,María
Piso,639,2004-08-19,Alquiler,Girona,277,2646181,2005-07-04,Carmen
Oficina,641,2004-08-19,Venta,Girona,249,2306238,2005-03-02,María
Industrial,643,2004-08-20,Alquiler,Lleida,255,2338095,2005-08-10,Carmen
Piso,647,2004-08-21,Venta,Barcelona,67,346256,2005-05-18,Luisa
Piso,649,2004-08-21,Alquiler,Lleida,46,386354,2005-05-04,Pedro
Parking,650,2004-08-22,Venta,Lleida,80,777360,2005-04-21,Carmen
Oficina,655,2004-08-22,Venta,Girona,293,2787016,2005-03-23,Luisa
Casa,659,2004-08-23,Alquiler,Barcelona,72,500400,2005-01-22,María
Local,663,2004-08-24,Alquiler,Barcelona,47,463843,2005-02-19,Joaquín
Local,664,2004-08-24,Alquiler,Girona,252,2057832,2005-03-14,Luisa
Industrial,670,2004-08-28,Venta,Barcelona,289,2188597,2005-04-27,María
Industrial,673,2004-08-29,Venta,Barcelona,67,479318,2005-04-03,Luisa
Oficina,675,2004-08-29,Alquiler,Barcelona,62,329716,2005-05-10,Pedro
Casa,676,2004-08-29,Venta,Girona,47,311563,2004-12-27,Carmen
Industrial,677,2004-08-30,Alquiler,Tarragona,54,227178,2005-01-24,Joaquín
Parking,684,2004-08-31,Venta,Tarragona,247,2285244,2005-03-07,María
Piso,685,2004-08-31,Venta,Girona,97,662316,2005-04-27,Carmen
Suelo,686,2004-08-31,Alquiler,Tarragona,57,330771,2005-01-05,María
Parking,689,2004-09-02,Venta,Girona,64,622144,2005-07-05,María
Parking,690,2004-09-02,Alquiler,Tarragona,81,723492,2005-07-10,Joaquín
Piso,694,2004-09-03,Alquiler,Lleida,88,392832,2005-01-28,María
Suelo,699,2004-09-05,Alquiler,Girona,73,542974,2005-06-14,Luisa
Casa,701,2004-09-06,Venta,Girona,225,2023200,2004-12-27,Joaquín
Piso,702,2004-09-07,Alquiler,Girona,295,2553225,2005-01-14,Carmen
Piso,704,2004-09-08,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
Casa,711,2004-09-10,Venta,Tarragona,289,2114035,2004-12-14,Luisa
Parking,712,2004-09-10,Alquiler,Lleida,244,2280668,2005-07-16,María
Casa,713,2004-09-10,Venta,Barcelona,73,688463,2005-08-08,Luisa
Casa,714,2004-09-10,Alquiler,Lleida,235,2135210,2005-05-14,Pedro
Oficina,715,2004-09-10,Alquiler,Lleida,43,329681,2005-01-19,Jesús
Local,717,2004-09-10,Alquiler,Tarragona,47,457498,2005-02-23,Jesús
Casa,720,2004-09-11,Venta,Tarragona,226,2216608,2005-07-09,Luisa
Industrial,721,2004-09-12,Venta,Tarragona,44,266596,2005-04-23,Luisa
Industrial,722,2004-09-12,Alquiler,Girona,86,611546,2005-02-10,Carmen
Casa,723,2004-09-12,Alquiler,Girona,54,518508,2005-02-16,María
Oficina,724,2004-09-12,Alquiler,Barcelona,241,2085373,2005-07-07,Joaquín
Piso,734,2004-09-17,Venta,Lleida,85,644470,2005-06-22,María
Oficina,735,2004-09-18,Alquiler,Barcelona,89,588023,2005-06-26,Joaquín
Suelo,737,2004-09-19,Alquiler,Lleida,85,780980,2005-07-20,Joaquín
Parking,740,2004-09-21,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
Local,743,2004-09-22,Venta,Lleida,56,542864,2005-09-08,María
Casa,744,2004-09-22,Venta,Barcelona,99,538065,2005-06-19,Jesús
Suelo,745,2004-09-22,Venta,Lleida,83,445295,2005-01-30,Pedro
Industrial,748,2004-09-22,Alquiler,Girona,228,2145480,2005-06-21,María
Local,753,2004-09-25,Venta,Lleida,67,399655,2005-08-13,Luisa
Oficina,755,2004-09-25,Venta,Tarragona,235,2202655,2005-04-16,Pedro
Industrial,756,2004-09-26,Alquiler,Tarragona,50,308850,2005-08-10,Pedro
Industrial,757,2004-09-26,Venta,Barcelona,42,306726,2005-06-16,Jesús
Local,761,2004-09-26,Venta,Girona,50,411700,2005-01-05,Carmen
Parking,762,2004-09-26,Venta,Barcelona,48,371712,2005-08-14,María
Piso,763,2004-09-27,Alquiler,Girona,291,2411808,2005-02-28,Joaquín
Local,765,2004-09-28,Alquiler,Girona,291,2354481,2005-01-26,Carmen
Piso,767,2004-09-29,Alquiler,Barcelona,95,510150,2005-05-07,Jesús
Industrial,771,2004-10-04,Venta,Girona,44,223564,2005-09-26,Luisa
Suelo,773,2004-10-04,Venta,Lleida,59,484744,2005-05-27,Joaquín
Local,774,2004-10-05,Alquiler,Tarragona,244,2332152,2005-06-05,Joaquín
Parking,776,2004-10-05,Venta,Lleida,76,411160,2005-02-15,Joaquín
Suelo,777,2004-10-05,Alquiler,Tarragona,68,611796,2005-06-18,Luisa
Suelo,782,2004-10-06,Venta,Girona,74,299996,2005-09-02,María
Parking,784,2004-10-06,Alquiler,Tarragona,83,778706,2005-09-11,María
Casa,787,2004-10-06,Venta,Barcelona,279,2064879,2005-05-07,María
Casa,788,2004-10-07,Venta,Girona,92,853852,2005-09-25,Carmen
Piso,793,2004-10-08,Venta,Lleida,88,507320,2005-09-06,María
Casa,795,2004-10-10,Alquiler,Tarragona,74,338476,2005-05-19,Jesús
Suelo,799,2004-10-11,Alquiler,Tarragona,278,2209822,2005-02-27,Jesús
Local,800,2004-10-12,Alquiler,Tarragona,67,653250,2005-02-19,María
Oficina,806,2004-10-14,Venta,Girona,43,415552,2005-01-16,Luisa
Industrial,810,2004-10-15,Venta,Barcelona,51,334305,2005-09-25,Carmen
Oficina,812,2004-10-16,Venta,Tarragona,236,2208252,2005-04-21,Pedro
Parking,816,2004-10-18,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
Suelo,818,2004-10-18,Alquiler,Tarragona,49,244608,2005-04-21,Pedro
Piso,824,2004-10-21,Alquiler,Girona,60,484560,2005-08-24,Jesús
Casa,832,2004-10-24,Alquiler,Tarragona,87,574200,2005-05-19,Carmen
Casa,834,2004-10-24,Venta,Barcelona,73,592103,2005-03-21,Jesús
Suelo,836,2004-10-25,Venta,Tarragona,274,2124596,2005-02-21,Carmen
Piso,838,2004-10-27,Alquiler,Girona,62,583110,2005-02-19,Joaquín
Suelo,846,2004-10-31,Alquiler,Tarragona,246,2214984,2005-09-22,Joaquín
Piso,854,2004-11-02,Alquiler,Lleida,299,2430272,2005-03-26,Carmen
Industrial,857,2004-11-03,Venta,Girona,238,2379048,2005-09-08,María
Suelo,859,2004-11-03,Venta,Barcelona,65,397540,2005-05-22,Joaquín
Piso,860,2004-11-03,Venta,Lleida,288,2242656,2005-02-11,Jesús
Piso,861,2004-11-03,Alquiler,Girona,96,891456,2005-07-28,Pedro
Oficina,863,2004-11-06,Alquiler,Barcelona,246,2328636,2005-03-10,Luisa
Suelo,867,2004-11-07,Venta,Tarragona,82,418692,2005-09-10,Luisa
Casa,871,2004-11-08,Alquiler,Tarragona,88,726352,2005-06-13,Joaquín
Industrial,873,2004-11-09,Alquiler,Lleida,295,2923155,2005-05-06,Luisa
Piso,874,2004-11-09,Venta,Tarragona,80,458560,2005-02-22,Pedro
Oficina,888,2004-11-13,Alquiler,Lleida,95,412395,2005-07-31,María
Casa,891,2004-11-13,Venta,Girona,255,2543625,2005-08-29,Pedro
Casa,892,2004-11-14,Alquiler,Tarragona,226,2025638,2005-05-04,María
Parking,894,2004-11-14,Alquiler,Lleida,92,610696,2005-05-04,Jesús
Suelo,897,2004-11-15,Alquiler,Lleida,64,581568,2005-02-15,Carmen
Casa,898,2004-11-15,Venta,Barcelona,258,2449452,2005-03-14,Jesús
Local,899,2004-11-16,Venta,Barcelona,58,315810,2005-06-14,Jesús
Oficina,902,2004-11-17,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
Piso,904,2004-11-17,Venta,Barcelona,62,455762,2005-07-25,Pedro
Industrial,906,2004-11-18,Alquiler,Tarragona,68,500140,2005-10-27,Pedro
Oficina,907,2004-11-18,Alquiler,Barcelona,59,491706,2005-07-03,Jesús
Piso,914,2004-11-20,Venta,Girona,48,366480,2005-09-19,Pedro
Parking,924,2004-11-25,Alquiler,Girona,283,2213909,2005-05-10,Luisa
Parking,925,2004-11-25,Alquiler,Lleida,298,2039512,2005-10-11,Joaquín
Suelo,926,2004-11-25,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
Local,929,2004-11-27,Alquiler,Tarragona,73,410260,2005-10-29,Carmen
Suelo,931,2004-11-27,Venta,Lleida,223,2053384,2005-11-13,Carmen
Casa,934,2004-11-29,Alquiler,Girona,228,2212740,2005-10-10,Jesús
Industrial,941,2004-12-02,Venta,Barcelona,68,614244,2005-05-11,Jesús
Piso,944,2004-12-03,Alquiler,Girona,66,558030,2005-12-01,Carmen
Piso,950,2004-12-05,Venta,Girona,233,2153852,2005-03-11,Pedro
Oficina,951,2004-12-06,Venta,Barcelona,65,307255,2005-10-11,Carmen
Parking,954,2004-12-08,Venta,Lleida,68,330956,2005-09-18,María
Piso,956,2004-12-09,Venta,Tarragona,80,509840,2005-05-21,Carmen
Casa,957,2004-12-09,Alquiler,Tarragona,84,368760,2005-07-30,Luisa
Parking,961,2004-12-10,Alquiler,Girona,96,535584,2005-10-22,Carmen
Industrial,965,2004-12-11,Venta,Girona,56,525616,2005-08-15,Joaquín
Local,968,2004-12-12,Alquiler,Lleida,96,769824,2005-10-03,Jesús
Piso,969,2004-12-14,Venta,Lleida,272,2581552,2005-10-22,Pedro
Suelo,975,2004-12-16,Venta,Lleida,77,409563,2005-07-30,Pedro
Casa,979,2004-12-18,Alquiler,Barcelona,97,672792,2005-05-23,Joaquín
Local,981,2004-12-18,Venta,Girona,278,2273762,2005-11-30,Pedro
Piso,985,2004-12-20,Alquiler,Barcelona,270,2427300,2005-09-06,Pedro
Casa,988,2004-12-21,Alquiler,Tarragona,225,2000475,2005-07-12,Jesús
Piso,989,2004-12-21,Venta,Lleida,81,528120,2005-07-09,Joaquín
Piso,992,2004-12-22,Alquiler,Girona,281,2326118,2005-07-22,María
Parking,996,2004-12-23,Alquiler,Girona,88,690184,2005-05-29,Carmen
Industrial,997,2004-12-23,Alquiler,Girona,66,448932,2005-09-01,Pedro
Local,998,2004-12-23,Venta,Girona,219,2101743,2005-07-30,Luisa
